Latitude,Longitude,Elevation
31.33194000,-110.280760,1706.0
31.33345000,-110.282850,1796.0
31.33348000,-110.282840,1797.0
31.33354000,-110.282840,1799.0
31.33359000,-110.282810,1800.0
31.33365000,-110.282730,1801.0
31.33367000,-110.282700,1802.0
31.33369000,-110.282660,1802.0
31.33372000,-110.282620,1803.0
31.33375000,-110.282580,1803.0
31.33377000,-110.282550,1804.0
31.33382000,-110.282500,1806.0
31.33385000,-110.282460,1807.0
31.33387000,-110.282440,1808.0
31.33389000,-110.282420,1809.0
31.33392000,-110.282400,1810.0
31.33397000,-110.282370,1812.0
31.33403000,-110.282340,1814.0
31.33411000,-110.282270,1816.0
31.33413000,-110.282230,1816.0
31.33417000,-110.282170,1815.0
31.33420000,-110.282150,1815.0
31.33423000,-110.282090,1813.0
31.33426000,-110.282070,1813.0
31.33427000,-110.282020,1812.0
31.33429000,-110.281980,1810.0
31.33431000,-110.281940,1809.0
31.33433000,-110.281890,1808.0
31.33434000,-110.281850,1807.0
31.33436000,-110.281780,1805.0
31.33441000,-110.281680,1803.0
31.33443000,-110.281620,1804.0
31.33446000,-110.281560,1805.0
31.33448000,-110.281530,1806.0
31.33451000,-110.281510,1807.0
31.33454000,-110.281480,1808.0
31.33457000,-110.281450,1809.0
31.33463000,-110.281400,1811.0
31.33466000,-110.281360,1811.0
31.33468000,-110.281330,1811.0
31.33470000,-110.281310,1812.0
31.33471000,-110.281290,1811.0
31.33474000,-110.281260,1812.0
31.33477000,-110.281230,1813.0
31.33479000,-110.281190,1813.0
31.33482000,-110.281150,1814.0
31.33484000,-110.281130,1814.0
31.33489000,-110.281050,1813.0
31.33492000,-110.281010,1813.0
31.33494000,-110.280980,1813.0
31.33498000,-110.280950,1814.0
31.33501000,-110.280940,1815.0
31.33503000,-110.280910,1814.0
31.33506000,-110.280880,1815.0
31.33509000,-110.280870,1816.0
31.33512000,-110.280840,1817.0
31.33515000,-110.280800,1816.0
31.33518000,-110.280770,1816.0
31.33521000,-110.280740,1816.0
31.33523000,-110.280720,1816.0
31.33526000,-110.280670,1815.0
31.33532000,-110.280620,1814.0
31.33536000,-110.280590,1813.0
31.33544000,-110.280540,1813.0
31.33551000,-110.280490,1813.0
31.33557000,-110.280430,1813.0
31.33562000,-110.280420,1814.0
31.33569000,-110.280430,1817.0
31.33575000,-110.280430,1820.0
31.33581000,-110.280430,1822.0
31.33588000,-110.280430,1823.0
31.33596000,-110.280440,1824.0
31.33601000,-110.280440,1824.0
31.33606000,-110.280450,1825.0
31.33612000,-110.280480,1827.0
31.33618000,-110.280490,1831.0
31.33621000,-110.280480,1833.0
31.33626000,-110.280460,1834.0
31.33634000,-110.280460,1839.0
31.33639000,-110.280460,1841.0
31.33644000,-110.280470,1845.0
31.33645000,-110.280490,1846.0
31.33646000,-110.280500,1848.0
31.33650000,-110.280500,1849.0
31.33653000,-110.280490,1849.0
31.33657000,-110.280470,1850.0
31.33660000,-110.280460,1850.0
31.33665000,-110.280440,1851.0
31.33671000,-110.280440,1852.0
31.33676000,-110.280430,1851.0
31.33680000,-110.280420,1851.0
31.33686000,-110.280400,1850.0
31.33693000,-110.280390,1849.0
31.33698000,-110.280390,1851.0
31.33702000,-110.280410,1854.0
31.33704000,-110.280430,1856.0
31.33705000,-110.280420,1856.0
31.33707000,-110.280400,1856.0
31.33709000,-110.280360,1853.0
31.33712000,-110.280330,1853.0
31.33716000,-110.280280,1852.0
31.33722000,-110.280250,1853.0
31.33728000,-110.280220,1853.0
31.33733000,-110.280220,1855.0
31.33736000,-110.280230,1857.0
31.33738000,-110.280230,1858.0
31.33739000,-110.280240,1859.0
31.33738000,-110.280260,1860.0
31.33737000,-110.280280,1861.0
31.33734000,-110.280330,1862.0
