Latitude,Longitude,Elevation
39.91117000,-74.6204100,37.0
39.91117000,-74.6203600,37.0
39.91110000,-74.6202600,37.0
39.91109000,-74.6200900,38.0
39.91114000,-74.6198300,40.0
39.91131000,-74.6194800,41.0
39.91144000,-74.6191500,38.0
39.91171000,-74.6185400,36.0
39.91198000,-74.6176900,36.0
39.91219000,-74.6172100,36.0
39.91223000,-74.6171700,36.0
39.91231000,-74.6171100,36.0
39.91277000,-74.6170800,38.0
39.91288000,-74.6170100,37.0
39.91310000,-74.6169600,36.0
39.91341000,-74.6169300,36.0
39.91392000,-74.6170300,34.0
39.91397000,-74.6170400,34.0
39.91430000,-74.6166000,32.0
39.91464000,-74.6161700,32.0
39.91497000,-74.6157300,34.0
39.91480000,-74.6155300,34.0
39.91481000,-74.6154400,34.0
39.91475000,-74.6154100,34.0
39.91468000,-74.6152600,34.0
39.91464000,-74.6150100,35.0
39.91465000,-74.6147100,36.0
39.91477000,-74.6143600,36.0
39.91508000,-74.6141200,36.0
39.91528000,-74.6137100,36.0
39.91556000,-74.6132400,35.0
39.91565000,-74.6129100,35.0
39.91584000,-74.6126800,35.0
39.91600000,-74.6125500,35.0
39.91617000,-74.6120700,33.0
39.91624000,-74.6119200,33.0
39.91612000,-74.6115700,34.0
39.91616000,-74.6112400,35.0
39.91618000,-74.6108600,35.0
39.91613000,-74.6105500,34.0
39.91609000,-74.6103500,33.0
39.91615000,-74.6098300,33.0
39.91623000,-74.6093300,35.0
39.91641000,-74.6089900,36.0
39.91647000,-74.6087900,37.0
39.91647000,-74.6076500,35.0
39.91650000,-74.6072800,35.0
39.91651000,-74.6068500,36.0
39.91651000,-74.6063600,36.0
39.91654000,-74.6059200,35.0
39.91721000,-74.6051600,36.0
39.91752000,-74.6047300,37.0
39.91789000,-74.6044700,38.0
39.91833000,-74.6043700,37.0
39.91836000,-74.6042700,37.0
39.91703000,-74.6023200,38.0
39.91702000,-74.6021100,38.0
39.91787000,-74.6010900,38.0
39.91827000,-74.6009400,38.0
39.91839000,-74.6004900,38.0
39.91867000,-74.6002200,37.0
39.91892000,-74.6001500,35.0
39.91901000,-74.5999700,35.0
39.91925000,-74.5993900,36.0
39.91952000,-74.5987000,37.0
39.91982000,-74.5962700,39.0
39.91978000,-74.5959400,38.0
39.91971000,-74.5958800,38.0
39.91952000,-74.5958200,38.0
39.91935000,-74.5956100,38.0
39.91917000,-74.5952700,39.0
39.91887000,-74.5948300,40.0
39.91859000,-74.5944900,40.0
39.91854000,-74.5943000,41.0
39.91854000,-74.5941500,41.0
39.91913000,-74.5932400,40.0
39.92006000,-74.5918500,41.0
39.92029000,-74.5917500,41.0
39.92068000,-74.5915900,39.0
39.92089000,-74.5913100,38.0
39.92122000,-74.5915200,38.0
39.92178000,-74.5918200,37.0
39.92205000,-74.5919200,35.0
39.92227000,-74.5923100,33.0
39.92242000,-74.5925300,32.0
39.92255000,-74.5925700,31.0
39.92261000,-74.5926100,31.0
39.92272000,-74.5922600,30.0
39.92261000,-74.5920700,29.0
39.92255000,-74.5919600,28.0
39.92251000,-74.5919500,29.0
39.92244000,-74.5918200,30.0
39.92238000,-74.5914500,32.0
39.92224000,-74.5911900,33.0
39.92209000,-74.5909400,33.0
39.92199000,-74.5904500,34.0
39.92190000,-74.5901800,33.0
39.92168000,-74.5899400,33.0
39.92149000,-74.5899200,33.0
39.92124000,-74.5899100,34.0
39.92094000,-74.5895900,34.0
39.92084000,-74.5892700,34.0
39.92072000,-74.5890900,33.0
39.92062000,-74.5890900,33.0
39.92046000,-74.5890700,33.0
39.92031000,-74.5889800,33.0
39.92014000,-74.5889500,34.0
39.92001000,-74.5887800,34.0
39.91992000,-74.5885300,33.0
39.91970000,-74.5883800,33.0
39.91956000,-74.5883200,34.0
39.91920000,-74.5881700,36.0
39.91889000,-74.5880900,38.0
39.91867000,-74.5879200,38.0
39.91822000,-74.5876100,37.0
39.91799000,-74.5873300,36.0
39.91780000,-74.5872100,36.0
39.91761000,-74.5869700,35.0
39.91745000,-74.5866100,32.0
39.91740000,-74.5862800,31.0
39.91736000,-74.5860200,31.0
39.91721000,-74.5859000,33.0
39.91691000,-74.5857200,34.0
39.91659000,-74.5854700,35.0
39.91634000,-74.5851200,35.0
39.91616000,-74.5845500,33.0
39.91609000,-74.5842200,34.0
39.91560000,-74.5840800,35.0
39.91540000,-74.5840500,35.0
39.91511000,-74.5840800,35.0
39.91496000,-74.5841300,34.0
39.91485000,-74.5842200,34.0
39.91466000,-74.5842300,34.0
39.91427000,-74.5839900,36.0
39.91384000,-74.5836000,34.0
39.91371000,-74.5832000,34.0
39.91364000,-74.5829000,34.0
39.91302000,-74.5824900,34.0
39.91283000,-74.5826700,34.0
39.91279000,-74.5828400,34.0
39.91268000,-74.5833100,35.0
39.91253000,-74.5836500,36.0
39.91237000,-74.5840800,36.0
39.91211000,-74.5842600,35.0
39.91196000,-74.5845400,35.0
39.91179000,-74.5847500,36.0
39.91172000,-74.5848100,36.0
39.91136000,-74.5844100,34.0
39.91111000,-74.5844200,34.0
39.91112000,-74.5843800,34.0
39.91096000,-74.5844000,34.0
39.91089000,-74.5843200,35.0
39.91077000,-74.5841500,37.0
39.91061000,-74.5841100,37.0
39.91018000,-74.5839800,37.0
39.90928000,-74.5839400,38.0
39.90870000,-74.5834500,39.0
39.90816000,-74.5832000,41.0
39.90767000,-74.5831500,43.0
39.90675000,-74.5836700,41.0
39.90598000,-74.5837600,41.0
39.90480000,-74.5837400,42.0
39.90429000,-74.5837500,41.0
39.90379000,-74.5838900,42.0
39.90303000,-74.5863800,41.0
39.90274000,-74.5874900,40.0
39.90238000,-74.5878200,40.0
39.90201000,-74.5879100,40.0
39.90184000,-74.5876500,40.0
39.90182000,-74.5875500,40.0
39.90171000,-74.5873800,40.0
39.90157000,-74.5871000,40.0
39.90147000,-74.5868000,40.0
39.90143000,-74.5864500,41.0
39.90137000,-74.5861400,41.0
39.90127000,-74.5858500,42.0
39.90038000,-74.5849400,41.0
39.90003000,-74.5847400,41.0
39.89961000,-74.5846200,41.0
39.89936000,-74.5844900,42.0
39.89902000,-74.5843700,44.0
39.89864000,-74.5841300,46.0
39.89832000,-74.5838700,44.0
39.89802000,-74.5837100,43.0
39.89762000,-74.5833300,42.0
39.89718000,-74.5829500,43.0
39.89688000,-74.5829000,44.0
39.89655000,-74.5828600,45.0
39.89603000,-74.5827700,45.0
39.89576000,-74.5826700,48.0
39.89521000,-74.5826300,50.0
39.89483000,-74.5825400,48.0
39.89450000,-74.5825200,46.0
39.89414000,-74.5823500,45.0
39.89349000,-74.5818400,46.0
39.89324000,-74.5816700,45.0
39.89319000,-74.5816100,45.0
39.89286000,-74.5808700,44.0
39.89282000,-74.5808400,44.0
39.89299000,-74.5806400,46.0
39.89286000,-74.5807900,44.0
39.89284000,-74.5808100,44.0
39.89294000,-74.5806700,46.0
39.89335000,-74.5804300,51.0
