Latitude,Longitude,Elevation
34.63751000,-84.1952700,1033.0
34.63754000,-84.1952700,1032.0
34.63753000,-84.1953200,1033.0
34.63750000,-84.1955400,1033.0
34.63747000,-84.1956700,1034.0
34.63745000,-84.1957800,1035.0
34.63747000,-84.1958400,1035.0
34.63752000,-84.1959500,1036.0
34.63758000,-84.1960400,1036.0
34.63766000,-84.1961600,1036.0
34.63770000,-84.1963200,1038.0
34.63770000,-84.1965100,1040.0
34.63770000,-84.1966000,1041.0
34.63766000,-84.1967200,1043.0
34.63764000,-84.1968200,1044.0
34.63757000,-84.1969300,1045.0
34.63751000,-84.1970100,1045.0
34.63744000,-84.1970600,1046.0
34.63732000,-84.1971200,1048.0
34.63726000,-84.1971500,1049.0
34.63720000,-84.1971600,1050.0
34.63685000,-84.1972700,1052.0
34.63667000,-84.1973200,1053.0
34.63653000,-84.1973300,1056.0
34.63618000,-84.1973900,1063.0
34.63604000,-84.1974100,1066.0
34.63586000,-84.1974100,1069.0
34.63566000,-84.1973900,1072.0
34.63552000,-84.1974200,1072.0
34.63520000,-84.1974600,1075.0
34.63512000,-84.1974900,1075.0
34.63483000,-84.1975400,1073.0
34.63444000,-84.1976100,1073.0
34.63420000,-84.1976100,1077.0
34.63404000,-84.1976300,1078.0
34.63393000,-84.1976200,1080.0
34.63372000,-84.1976100,1080.0
34.63360000,-84.1976000,1079.0
34.63346000,-84.1975400,1082.0
34.63321000,-84.1974400,1085.0
34.63301000,-84.1972700,1088.0
34.63270000,-84.1969400,1093.0
34.63257000,-84.1967900,1096.0
34.63240000,-84.1965300,1101.0
34.63229000,-84.1963700,1104.0
34.63222000,-84.1962500,1106.0
34.63205000,-84.1960900,1107.0
34.63197000,-84.1959700,1109.0
34.63186000,-84.1958300,1111.0
34.63174000,-84.1957200,1112.0
34.63163000,-84.1956200,1114.0
34.63148000,-84.1955100,1118.0
34.63138000,-84.1954200,1119.0
34.63108000,-84.1952400,1123.0
34.63092000,-84.1951600,1125.0
34.63078000,-84.1950700,1128.0
