Latitude,Longitude,Elevation
36.79608000,-118.583220,1550.0
36.79617000,-118.583300,1551.0
36.79631000,-118.583850,1549.0
36.79651000,-118.583570,1553.0
36.79696000,-118.583360,1556.0
36.79718000,-118.583170,1560.0
36.79746000,-118.582680,1567.0
36.79779000,-118.583240,1573.0
36.79827000,-118.582520,1588.0
36.79828000,-118.583880,1610.0
36.79871000,-118.583140,1623.0
36.79890000,-118.582360,1624.0
36.79909000,-118.583070,1647.0
36.79890000,-118.583780,1648.0
36.79934000,-118.583270,1665.0
36.79954000,-118.582380,1662.0
36.79982000,-118.581670,1670.0
36.79985000,-118.583080,1689.0
36.80052000,-118.581920,1718.0
36.80064000,-118.581390,1709.0
36.80097000,-118.581140,1708.0
36.80137000,-118.581270,1734.0
36.80101000,-118.581830,1740.0
36.80106000,-118.582020,1747.0
36.80078000,-118.583070,1759.0
36.80076000,-118.583930,1775.0
36.80107000,-118.583220,1777.0
36.80198000,-118.582470,1797.0
36.80164000,-118.583210,1811.0
36.80149000,-118.583940,1828.0
36.80284000,-118.583010,1860.0
36.80213000,-118.584380,1873.0
36.80275000,-118.583990,1893.0
36.80316000,-118.583680,1906.0
36.80413000,-118.583260,1921.0
36.80591000,-118.582570,1937.0
36.80493000,-118.583580,1954.0
36.80369000,-118.584870,1974.0
36.80548000,-118.584540,2015.0
36.80678000,-118.584050,2029.0
36.80753000,-118.584020,2044.0
36.80829000,-118.583420,2049.0
36.80944000,-118.583380,2066.0
36.80984000,-118.582920,2065.0
36.81068000,-118.582840,2088.0
36.81170000,-118.582740,2113.0
36.81298000,-118.582680,2128.0
36.81341000,-118.582840,2151.0
36.81380000,-118.582710,2156.0
36.81479000,-118.582660,2177.0
36.81582000,-118.582110,2198.0
36.81662000,-118.581550,2203.0
36.81773000,-118.580360,2219.0
36.81786000,-118.580770,2232.0
36.81848000,-118.580540,2240.0
36.81920000,-118.580650,2248.0
36.81970000,-118.582140,2283.0
36.82048000,-118.582870,2300.0
36.82193000,-118.583170,2320.0
36.82284000,-118.582740,2307.0
36.82324000,-118.581880,2305.0
36.82398000,-118.581430,2315.0
36.82486000,-118.581300,2329.0
36.82584000,-118.581000,2342.0
36.82690000,-118.581130,2357.0
36.82729000,-118.581260,2373.0
36.82772000,-118.581110,2378.0
36.82863000,-118.581130,2382.0
36.82968000,-118.580780,2397.0
36.83015000,-118.579040,2416.0
36.83033000,-118.578880,2416.0
36.83054000,-118.579090,2421.0
36.83113000,-118.579720,2434.0
36.83172000,-118.580200,2448.0
36.83202000,-118.578850,2461.0
36.83236000,-118.578360,2462.0
36.83288000,-118.578030,2476.0
36.83346000,-118.577750,2489.0
36.83411000,-118.577570,2497.0
36.83592000,-118.577670,2530.0
36.83567000,-118.577860,2538.0
36.83510000,-118.577970,2534.0
36.83472000,-118.578310,2536.0
36.83474000,-118.578740,2545.0
36.83488000,-118.579240,2549.0
36.83596000,-118.580020,2570.0
36.83667000,-118.580810,2579.0
36.83716000,-118.581580,2590.0
36.83750000,-118.582490,2600.0
36.83786000,-118.583610,2621.0
36.83811000,-118.583960,2633.0
36.83848000,-118.583250,2652.0
36.83855000,-118.582720,2656.0
36.83850000,-118.582210,2658.0
