Latitude,Longitude,Elevation
39.49075000,-105.093720,1679.0
39.49079000,-105.093760,1679.0
39.49082000,-105.093800,1679.0
39.49086000,-105.093840,1678.0
39.49090000,-105.093880,1678.0
39.49091000,-105.093940,1678.0
39.49091000,-105.094010,1678.0
39.49090000,-105.094070,1678.0
39.49091000,-105.094130,1678.0
39.49095000,-105.094160,1678.0
39.49099000,-105.094200,1678.0
39.49103000,-105.094230,1678.0
39.49109000,-105.094270,1678.0
39.49113000,-105.094300,1678.0
39.49118000,-105.094320,1678.0
39.49122000,-105.094350,1678.0
39.49126000,-105.094400,1678.0
39.49128000,-105.094470,1678.0
39.49129000,-105.094530,1678.0
39.49129000,-105.094600,1678.0
39.49127000,-105.094670,1678.0
39.49125000,-105.094730,1677.0
39.49123000,-105.094800,1677.0
39.49120000,-105.094850,1677.0
39.49123000,-105.094900,1677.0
39.49125000,-105.094960,1677.0
39.49128000,-105.095030,1676.0
39.49128000,-105.095120,1676.0
39.49127000,-105.095200,1676.0
39.49126000,-105.095270,1676.0
39.49124000,-105.095330,1676.0
39.49121000,-105.095390,1676.0
39.49117000,-105.095440,1676.0
39.49115000,-105.095500,1676.0
39.49113000,-105.095560,1677.0
39.49111000,-105.095620,1677.0
39.49108000,-105.095670,1678.0
39.49106000,-105.095730,1679.0
39.49105000,-105.095790,1679.0
39.49102000,-105.095830,1680.0
39.49099000,-105.095880,1681.0
39.49095000,-105.095930,1682.0
39.49091000,-105.095970,1682.0
39.49086000,-105.096020,1683.0
39.49082000,-105.096070,1683.0
39.49078000,-105.096120,1684.0
39.49075000,-105.096160,1684.0
39.49072000,-105.096210,1684.0
39.49068000,-105.096260,1684.0
39.49064000,-105.096300,1684.0
39.49060000,-105.096350,1684.0
39.49057000,-105.096400,1684.0
39.49054000,-105.096460,1683.0
39.49050000,-105.096500,1683.0
39.49046000,-105.096540,1683.0
39.49042000,-105.096590,1683.0
39.49038000,-105.096620,1682.0
39.49033000,-105.096650,1682.0
39.49029000,-105.096680,1682.0
39.49024000,-105.096720,1682.0
39.49019000,-105.096750,1681.0
39.49014000,-105.096780,1681.0
39.49010000,-105.096820,1681.0
39.49005000,-105.096860,1681.0
39.48999000,-105.096880,1681.0
39.48993000,-105.096900,1682.0
39.48988000,-105.096920,1682.0
39.48983000,-105.096950,1682.0
39.48978000,-105.096980,1683.0
39.48974000,-105.096990,1683.0
39.48969000,-105.097000,1683.0
39.48964000,-105.097010,1684.0
39.48959000,-105.097020,1684.0
39.48954000,-105.097020,1684.0
39.48949000,-105.097040,1685.0
39.48943000,-105.097050,1685.0
39.48938000,-105.097080,1685.0
39.48934000,-105.097110,1685.0
39.48929000,-105.097130,1685.0
39.48924000,-105.097140,1685.0
39.48918000,-105.097160,1685.0
39.48913000,-105.097180,1685.0
39.48908000,-105.097200,1684.0
39.48902000,-105.097220,1684.0
39.48898000,-105.097230,1683.0
39.48893000,-105.097250,1683.0
39.48887000,-105.097260,1683.0
39.48882000,-105.097280,1683.0
39.48877000,-105.097290,1682.0
39.48872000,-105.097320,1682.0
39.48866000,-105.097340,1682.0
39.48860000,-105.097340,1682.0
39.48855000,-105.097340,1682.0
39.48849000,-105.097350,1682.0
39.48844000,-105.097370,1682.0
39.48839000,-105.097400,1682.0
39.48834000,-105.097440,1683.0
39.48829000,-105.097470,1683.0
39.48824000,-105.097500,1682.0
39.48820000,-105.097550,1682.0
39.48816000,-105.097590,1681.0
39.48812000,-105.097620,1681.0
39.48807000,-105.097640,1680.0
39.48803000,-105.097680,1680.0
39.48799000,-105.097730,1680.0
39.48795000,-105.097790,1680.0
39.48790000,-105.097830,1680.0
39.48787000,-105.097880,1680.0
39.48782000,-105.097930,1680.0
39.48779000,-105.097970,1680.0
39.48775000,-105.098020,1680.0
39.48771000,-105.098070,1680.0
39.48768000,-105.098130,1681.0
39.48764000,-105.098180,1681.0
