Latitude,Longitude,Elevation
31.31375000,-108.525700,1419.0
31.31415000,-108.525940,1417.0
31.31455000,-108.526180,1416.0
31.31495000,-108.526430,1416.0
31.31535000,-108.526670,1417.0
31.31576000,-108.526910,1417.0
31.31616000,-108.527150,1418.0
31.31656000,-108.527390,1418.0
31.31696000,-108.527640,1417.0
31.31736000,-108.527880,1417.0
31.31776000,-108.528120,1417.0
31.31816000,-108.528360,1417.0
31.31856000,-108.528600,1419.0
31.31896000,-108.528840,1417.0
31.31937000,-108.529090,1415.0
31.31977000,-108.529330,1415.0
31.32017000,-108.529570,1417.0
31.32057000,-108.529810,1416.0
31.32097000,-108.530050,1415.0
31.32137000,-108.530300,1417.0
31.32177000,-108.530540,1416.0
31.32217000,-108.530780,1415.0
31.32257000,-108.531020,1417.0
31.32298000,-108.531260,1418.0
31.32338000,-108.531510,1419.0
31.32378000,-108.531750,1419.0
31.32418000,-108.531990,1417.0
31.32458000,-108.532230,1416.0
31.32498000,-108.532470,1419.0
31.32538000,-108.532720,1421.0
31.32578000,-108.532960,1420.0
31.32618000,-108.533200,1421.0
31.32658000,-108.533440,1420.0
31.32699000,-108.533680,1419.0
31.32739000,-108.533930,1417.0
31.32779000,-108.534170,1418.0
31.32819000,-108.534410,1421.0
31.32859000,-108.534650,1420.0
31.32899000,-108.534890,1421.0
31.32939000,-108.535130,1424.0
31.32979000,-108.535380,1421.0
31.33019000,-108.535620,1419.0
31.33060000,-108.535860,1418.0
31.33100000,-108.536100,1420.0
31.33140000,-108.536340,1421.0
31.33180000,-108.536590,1421.0
31.33220000,-108.536830,1418.0
31.33260000,-108.537070,1422.0
31.33300000,-108.537310,1423.0
31.33340000,-108.537550,1423.0
31.33380000,-108.537800,1423.0
31.33421000,-108.538040,1423.0
31.33461000,-108.538280,1423.0
31.33501000,-108.538520,1425.0
31.33541000,-108.538760,1425.0
31.33581000,-108.539010,1425.0
31.33621000,-108.539250,1425.0
31.33661000,-108.539490,1425.0
31.33701000,-108.539730,1425.0
31.33741000,-108.539970,1428.0
31.33782000,-108.540220,1429.0
31.33822000,-108.540460,1428.0
31.33862000,-108.540700,1429.0
31.33902000,-108.540940,1428.0
31.33942000,-108.541180,1427.0
31.33982000,-108.541420,1427.0
31.34022000,-108.541670,1428.0
31.34062000,-108.541910,1427.0
31.34102000,-108.542150,1428.0
31.34143000,-108.542390,1431.0
31.34183000,-108.542630,1430.0
31.34223000,-108.542880,1430.0
31.34263000,-108.543120,1430.0
31.34303000,-108.543360,1430.0
31.34343000,-108.543600,1429.0
31.34383000,-108.543840,1429.0
31.34423000,-108.544090,1430.0
31.34463000,-108.544330,1432.0
31.34503000,-108.544570,1430.0
31.34544000,-108.544810,1431.0
31.34584000,-108.545050,1432.0
31.34624000,-108.545300,1432.0
31.34664000,-108.545540,1432.0
31.34704000,-108.545780,1431.0
31.34744000,-108.546020,1432.0
31.34784000,-108.546260,1432.0
31.34824000,-108.546500,1432.0
31.34864000,-108.546750,1433.0
31.34905000,-108.546990,1432.0
31.34945000,-108.547230,1432.0
31.34985000,-108.547470,1434.0
31.35025000,-108.547710,1435.0
31.35065000,-108.547960,1435.0
31.35105000,-108.548200,1433.0
31.35145000,-108.548440,1434.0
31.35185000,-108.548680,1434.0
31.35225000,-108.548920,1434.0
31.35266000,-108.549170,1437.0
31.35306000,-108.549410,1436.0
31.35346000,-108.549650,1437.0
31.35386000,-108.549890,1437.0
31.35426000,-108.550130,1436.0
31.35466000,-108.550380,1436.0
31.35506000,-108.550620,1436.0
31.35546000,-108.550860,1437.0
31.35586000,-108.551100,1438.0
31.35627000,-108.551340,1438.0
31.35667000,-108.551590,1439.0
31.35707000,-108.551830,1440.0
31.35747000,-108.552070,1440.0
31.35787000,-108.552310,1440.0
31.35827000,-108.552550,1439.0
31.35867000,-108.552790,1438.0
31.35907000,-108.553040,1441.0
31.35947000,-108.553280,1442.0
31.35988000,-108.553520,1439.0
31.36028000,-108.553760,1440.0
31.36068000,-108.554000,1440.0
31.36108000,-108.554250,1439.0
31.36148000,-108.554490,1441.0
31.36188000,-108.554730,1440.0
31.36228000,-108.554970,1441.0
31.36268000,-108.555210,1439.0
31.36308000,-108.555460,1441.0
31.36348000,-108.555700,1440.0
31.36389000,-108.555940,1439.0
31.36429000,-108.556180,1438.0
31.36469000,-108.556420,1439.0
31.36509000,-108.556670,1441.0
31.36549000,-108.556910,1442.0
31.36589000,-108.557150,1441.0
31.36629000,-108.557390,1442.0
31.36669000,-108.557630,1441.0
31.36709000,-108.557870,1440.0
31.36750000,-108.558120,1439.0
31.36790000,-108.558360,1442.0
31.36830000,-108.558600,1444.0
31.36870000,-108.558840,1443.0
31.36910000,-108.559080,1445.0
31.36950000,-108.559330,1445.0
31.36990000,-108.559570,1444.0
31.37030000,-108.559810,1445.0
31.37070000,-108.560050,1442.0
31.37111000,-108.560290,1444.0
31.37151000,-108.560540,1447.0
31.37191000,-108.560780,1443.0
31.37231000,-108.561020,1440.0
31.37271000,-108.561260,1442.0
31.37311000,-108.561500,1445.0
31.37351000,-108.561750,1447.0
31.37391000,-108.561990,1444.0
31.37431000,-108.562230,1443.0
31.37472000,-108.562470,1445.0
31.37512000,-108.562710,1446.0
31.37552000,-108.562960,1445.0
31.37592000,-108.563200,1443.0
31.37632000,-108.563440,1441.0
31.37672000,-108.563680,1441.0
31.37712000,-108.563920,1443.0
31.37752000,-108.564160,1446.0
31.37792000,-108.564410,1445.0
31.37833000,-108.564650,1445.0
31.37873000,-108.564890,1445.0
31.37913000,-108.565130,1445.0
31.37953000,-108.565370,1446.0
31.37993000,-108.565620,1448.0
31.38033000,-108.565860,1448.0
31.38073000,-108.566100,1447.0
31.38113000,-108.566340,1448.0
31.38153000,-108.566580,1450.0
31.38193000,-108.566830,1451.0
31.38234000,-108.567070,1453.0
31.38274000,-108.567310,1458.0
31.38314000,-108.567550,1462.0
31.38354000,-108.567790,1469.0
31.38394000,-108.568040,1478.0
31.38434000,-108.568280,1486.0
31.38474000,-108.568520,1490.0
31.38514000,-108.568760,1493.0
31.38554000,-108.569000,1494.0
31.38595000,-108.569250,1498.0
31.38635000,-108.569490,1498.0
31.38675000,-108.569730,1494.0
31.38715000,-108.569970,1484.0
31.38755000,-108.570210,1475.0
31.38795000,-108.570450,1464.0
31.38835000,-108.570700,1458.0
31.38875000,-108.570940,1451.0
31.38915000,-108.571180,1446.0
31.38956000,-108.571420,1446.0
31.38996000,-108.571660,1444.0
31.39036000,-108.571910,1442.0
31.39076000,-108.572150,1442.0
31.39116000,-108.572390,1443.0
31.39159000,-108.572230,1442.0
31.39202000,-108.572080,1446.0
31.39245000,-108.571920,1445.0
31.39288000,-108.571760,1445.0
31.39331000,-108.571600,1445.0
31.39374000,-108.571450,1445.0
31.39417000,-108.571290,1443.0
31.39460000,-108.571130,1443.0
31.39503000,-108.570970,1443.0
31.39546000,-108.570820,1440.0
31.39589000,-108.570660,1440.0
31.39633000,-108.570500,1440.0
31.39676000,-108.570340,1438.0
31.39719000,-108.570190,1437.0
31.39762000,-108.570030,1439.0
31.39805000,-108.569870,1441.0
31.39848000,-108.569720,1439.0
31.39891000,-108.569560,1440.0
31.39934000,-108.569400,1440.0
31.39977000,-108.569240,1439.0
31.40020000,-108.569090,1439.0
31.40063000,-108.568930,1439.0
31.40106000,-108.568770,1439.0
31.40149000,-108.568610,1436.0
31.40192000,-108.568460,1433.0
31.40235000,-108.568300,1433.0
31.40278000,-108.568140,1435.0
31.40321000,-108.567980,1435.0
31.40364000,-108.567830,1435.0
31.40407000,-108.567670,1436.0
31.40450000,-108.567510,1434.0
31.40493000,-108.567360,1431.0
31.40536000,-108.567200,1434.0
31.40580000,-108.567040,1434.0
31.40623000,-108.566880,1432.0
31.40666000,-108.566730,1432.0
31.40709000,-108.566570,1433.0
31.40752000,-108.566410,1432.0
31.40795000,-108.566250,1432.0
31.40838000,-108.566100,1431.0
31.40881000,-108.565940,1430.0
31.40924000,-108.565780,1429.0
31.40967000,-108.565620,1428.0
31.41010000,-108.565470,1427.0
31.41053000,-108.565310,1428.0
31.41096000,-108.565150,1428.0
31.41139000,-108.565000,1427.0
31.41182000,-108.564840,1427.0
31.41225000,-108.564680,1427.0
31.41268000,-108.564520,1428.0
31.41311000,-108.564370,1427.0
31.41354000,-108.564210,1428.0
31.41397000,-108.564050,1430.0
31.41440000,-108.563890,1427.0
31.41483000,-108.563740,1426.0
31.41527000,-108.563580,1425.0
31.41570000,-108.563420,1426.0
31.41613000,-108.563270,1424.0
31.41656000,-108.563110,1424.0
31.41699000,-108.562950,1425.0
31.41742000,-108.562790,1424.0
31.41785000,-108.562640,1423.0
31.41828000,-108.562480,1423.0
31.41871000,-108.562320,1424.0
31.41914000,-108.562160,1422.0
31.41957000,-108.562010,1422.0
31.42000000,-108.561850,1422.0
31.42043000,-108.561690,1420.0
31.42086000,-108.561530,1420.0
31.42129000,-108.561380,1420.0
31.42172000,-108.561220,1418.0
31.42215000,-108.561060,1415.0
31.42258000,-108.560910,1416.0
31.42301000,-108.560750,1416.0
31.42344000,-108.560590,1417.0
31.42387000,-108.560430,1420.0
31.42430000,-108.560280,1418.0
31.42474000,-108.560120,1418.0
31.42517000,-108.559960,1416.0
31.42560000,-108.559800,1419.0
31.42603000,-108.559650,1420.0
31.42646000,-108.559490,1417.0
31.42689000,-108.559330,1417.0
31.42732000,-108.559170,1417.0
31.42775000,-108.559020,1414.0
31.42818000,-108.558860,1414.0
31.42861000,-108.558700,1414.0
31.42904000,-108.558550,1415.0
31.42947000,-108.558390,1414.0
31.42990000,-108.558230,1414.0
31.43033000,-108.558070,1417.0
31.43076000,-108.557920,1416.0
31.43119000,-108.557760,1414.0
31.43162000,-108.557600,1412.0
31.43205000,-108.557440,1413.0
31.43248000,-108.557290,1413.0
31.43291000,-108.557130,1413.0
31.43334000,-108.556970,1411.0
31.43377000,-108.556810,1411.0
31.43421000,-108.556660,1411.0
31.43464000,-108.556500,1411.0
31.43507000,-108.556340,1411.0
31.43550000,-108.556190,1411.0
31.43593000,-108.556030,1412.0
31.43636000,-108.555870,1411.0
31.43679000,-108.555710,1410.0
31.43722000,-108.555560,1409.0
31.43765000,-108.555400,1408.0
31.43808000,-108.555240,1409.0
31.43851000,-108.555080,1408.0
31.43894000,-108.554930,1407.0
31.43937000,-108.554770,1406.0
31.43980000,-108.554610,1405.0
31.44023000,-108.554450,1404.0
31.44066000,-108.554300,1405.0
31.44109000,-108.554140,1405.0
31.44152000,-108.553980,1405.0
31.44195000,-108.553830,1405.0
31.44238000,-108.553670,1405.0
31.44281000,-108.553510,1404.0
31.44324000,-108.553350,1405.0
