Latitude,Longitude,Elevation
37.73476000,-119.566290,1241.0
37.73468000,-119.565830,1249.0
37.73465000,-119.565790,1249.0
37.73451000,-119.565460,1247.0
37.73431000,-119.565090,1244.0
37.73412000,-119.564770,1245.0
37.73394000,-119.564440,1247.0
37.73378000,-119.564080,1256.0
37.73358000,-119.563720,1261.0
37.73323000,-119.563220,1254.0
37.73296000,-119.562760,1248.0
37.73263000,-119.562380,1250.0
37.73231000,-119.562060,1251.0
37.73206000,-119.561860,1250.0
37.73210000,-119.561800,1250.0
37.73221000,-119.561760,1250.0
37.73236000,-119.561670,1251.0
37.73257000,-119.561610,1253.0
37.73270000,-119.561570,1253.0
37.73281000,-119.561480,1254.0
37.73294000,-119.561490,1254.0
37.73290000,-119.561360,1255.0
37.73280000,-119.561170,1255.0
37.73272000,-119.560980,1255.0
37.73263000,-119.560770,1255.0
37.73251000,-119.560440,1255.0
37.73246000,-119.560210,1256.0
37.73242000,-119.560000,1256.0
37.73241000,-119.559800,1256.0
37.73238000,-119.559700,1255.0
37.73236000,-119.559600,1255.0
37.73234000,-119.559510,1255.0
37.73234000,-119.559370,1254.0
37.73243000,-119.559340,1254.0
37.73247000,-119.559200,1254.0
37.73249000,-119.558850,1246.0
37.73251000,-119.558530,1238.0
37.73256000,-119.558150,1236.0
37.73270000,-119.557870,1237.0
37.73260000,-119.557870,1237.0
37.73247000,-119.557970,1236.0
37.73236000,-119.557990,1235.0
37.73223000,-119.558030,1234.0
37.73215000,-119.558050,1234.0
37.73206000,-119.558100,1234.0
37.73193000,-119.558130,1233.0
37.73174000,-119.558200,1235.0
37.73147000,-119.558250,1240.0
37.73121000,-119.558290,1246.0
37.73113000,-119.558290,1248.0
37.73107000,-119.558300,1248.0
37.73083000,-119.558250,1251.0
37.73046000,-119.558220,1250.0
37.73031000,-119.558050,1253.0
37.72983000,-119.558020,1253.0
37.72944000,-119.558060,1254.0
37.72904000,-119.558110,1263.0
37.72884000,-119.558240,1267.0
37.72844000,-119.558210,1274.0
37.72823000,-119.558260,1282.0
37.72781000,-119.558320,1297.0
37.72735000,-119.558520,1298.0
37.72696000,-119.558430,1306.0
37.72689000,-119.558480,1305.0
37.72684000,-119.558460,1307.0
37.72683000,-119.558370,1309.0
37.72679000,-119.558280,1311.0
37.72668000,-119.558200,1310.0
37.72663000,-119.558130,1311.0
37.72666000,-119.558050,1312.0
37.72666000,-119.557990,1314.0
37.72662000,-119.557910,1314.0
37.72659000,-119.557710,1314.0
37.72657000,-119.557460,1311.0
37.72651000,-119.557270,1307.0
37.72640000,-119.557130,1305.0
37.72633000,-119.557000,1305.0
37.72631000,-119.556780,1308.0
37.72633000,-119.556640,1312.0
37.72633000,-119.556550,1314.0
37.72632000,-119.556450,1316.0
37.72627000,-119.556250,1318.0
37.72614000,-119.555880,1318.0
37.72608000,-119.555600,1316.0
37.72609000,-119.555260,1318.0
37.72614000,-119.555100,1322.0
37.72612000,-119.554930,1322.0
37.72611000,-119.554700,1322.0
37.72614000,-119.554590,1324.0
37.72632000,-119.554490,1333.0
37.72642000,-119.554390,1339.0
37.72645000,-119.554290,1341.0
37.72639000,-119.554030,1340.0
37.72636000,-119.553760,1347.0
37.72632000,-119.553570,1352.0
37.72628000,-119.553300,1356.0
37.72625000,-119.553200,1356.0
37.72623000,-119.553110,1357.0
37.72622000,-119.553010,1358.0
37.72624000,-119.552850,1362.0
37.72625000,-119.552670,1364.0
37.72625000,-119.552420,1365.0
37.72628000,-119.552260,1366.0
37.72631000,-119.552100,1367.0
37.72632000,-119.551940,1367.0
37.72630000,-119.551790,1367.0
37.72623000,-119.551700,1365.0
37.72600000,-119.551590,1361.0
37.72596000,-119.551560,1361.0
37.72592000,-119.551400,1361.0
37.72596000,-119.550420,1387.0
37.72598000,-119.550200,1394.0
37.72598000,-119.549940,1404.0
37.72597000,-119.549740,1407.0
37.72600000,-119.549630,1409.0
37.72602000,-119.549270,1415.0
37.72604000,-119.549160,1416.0
37.72596000,-119.549140,1420.0
37.72591000,-119.549150,1423.0
37.72587000,-119.549160,1425.0
37.72540000,-119.549310,1434.0
37.72533000,-119.549200,1439.0
37.72536000,-119.548880,1449.0
37.72534000,-119.548770,1454.0
37.72524000,-119.548930,1452.0
37.72484000,-119.549210,1461.0
37.72480000,-119.549060,1471.0
37.72485000,-119.548800,1481.0
37.72481000,-119.548700,1489.0
37.72439000,-119.549110,1492.0
37.72433000,-119.549060,1497.0
37.72446000,-119.548480,1514.0
37.72444000,-119.548400,1518.0
37.72378000,-119.549130,1518.0
37.72372000,-119.549140,1521.0
37.72370000,-119.549010,1526.0
37.72398000,-119.548300,1533.0
37.72397000,-119.548060,1544.0
37.72404000,-119.547920,1548.0
37.72392000,-119.547720,1561.0
37.72403000,-119.547560,1565.0
