Latitude,Longitude,Elevation
40.40834000,-79.0057900,403.0
40.40830000,-79.0054500,407.0
40.40839000,-79.0051400,408.0
40.40845000,-79.0047000,409.0
40.40846000,-79.0042700,411.0
40.40853000,-79.0039500,414.0
40.40861000,-79.0038100,415.0
40.40865000,-79.0036200,417.0
40.40867000,-79.0032200,418.0
40.40865000,-79.0030200,419.0
40.40865000,-79.0028300,420.0
40.40868000,-79.0024100,424.0
40.40868000,-79.0022900,426.0
40.40871000,-79.0021500,428.0
40.40873000,-79.0019300,429.0
40.40877000,-79.0017600,431.0
40.40882000,-79.0014300,433.0
40.40887000,-79.0013000,434.0
40.40890000,-79.0012300,435.0
40.40898000,-79.0010600,438.0
40.40903000,-79.0008700,440.0
40.40902000,-79.0006200,441.0
40.40896000,-79.0003300,442.0
40.40890000,-79.0000600,442.0
40.40888000,-78.9996900,442.0
40.40886000,-78.9994000,442.0
40.40883000,-78.9991400,444.0
40.40878000,-78.9990400,446.0
40.40878000,-78.9987900,451.0
40.40872000,-78.9986000,454.0
40.40862000,-78.9983300,456.0
40.40855000,-78.9980100,456.0
40.40847000,-78.9977000,459.0
40.40837000,-78.9974100,463.0
40.40828000,-78.9971400,464.0
40.40819000,-78.9969000,464.0
40.40810000,-78.9966600,465.0
40.40799000,-78.9964500,466.0
40.40792000,-78.9962500,468.0
40.40784000,-78.9960900,469.0
40.40780000,-78.9958500,471.0
40.40771000,-78.9957300,470.0
40.40770000,-78.9956400,470.0
40.40763000,-78.9955100,470.0
40.40751000,-78.9953800,470.0
40.40736000,-78.9952900,469.0
40.40730000,-78.9952100,470.0
40.40721000,-78.9950700,472.0
40.40708000,-78.9948500,474.0
40.40696000,-78.9946700,474.0
40.40675000,-78.9944900,474.0
40.40643000,-78.9943500,474.0
40.40626000,-78.9942000,475.0
40.40618000,-78.9940700,476.0
40.40604000,-78.9939400,478.0
40.40586000,-78.9938200,482.0
40.40566000,-78.9937500,486.0
40.40550000,-78.9936500,488.0
40.40534000,-78.9935800,490.0
40.40521000,-78.9935000,492.0
40.40509000,-78.9934600,492.0
40.40499000,-78.9933700,493.0
40.40495000,-78.9932200,495.0
40.40495000,-78.9930600,497.0
40.40493000,-78.9928300,501.0
40.40490000,-78.9927200,503.0
40.40483000,-78.9925600,505.0
40.40470000,-78.9923100,508.0
40.40457000,-78.9920700,513.0
40.40446000,-78.9919100,516.0
40.40441000,-78.9918500,518.0
40.40438000,-78.9915900,523.0
40.40432000,-78.9914400,526.0
40.40427000,-78.9912400,529.0
40.40422000,-78.9910100,531.0
40.40418000,-78.9908000,533.0
40.40417000,-78.9905800,534.0
40.40414000,-78.9903600,534.0
40.40410000,-78.9901500,535.0
40.40406000,-78.9900100,536.0
40.40409000,-78.9898700,534.0
40.40402000,-78.9898100,536.0
40.40391000,-78.9897300,538.0
40.40376000,-78.9897000,541.0
40.40343000,-78.9896800,546.0
40.40317000,-78.9896000,551.0
40.40311000,-78.9894400,554.0
40.40282000,-78.9893000,560.0
40.40262000,-78.9891100,563.0
40.40236000,-78.9889400,567.0
40.40206000,-78.9885400,575.0
40.40182000,-78.9882600,581.0
40.40160000,-78.9879300,584.0
40.40144000,-78.9878300,585.0
40.40131000,-78.9875800,585.0
40.40115000,-78.9874500,587.0
40.40097000,-78.9874500,592.0
40.40072000,-78.9873700,595.0
40.40050000,-78.9872200,597.0
40.40045000,-78.9872600,598.0
40.40023000,-78.9871600,600.0
40.39997000,-78.9870200,603.0
40.39963000,-78.9869300,607.0
40.39929000,-78.9867200,609.0
40.39895000,-78.9868000,616.0
40.39845000,-78.9866800,624.0
40.39818000,-78.9865700,626.0
40.39784000,-78.9864200,631.0
40.39764000,-78.9862300,631.0
40.39748000,-78.9860700,632.0
40.39739000,-78.9860600,632.0
40.39704000,-78.9859700,636.0
40.39683000,-78.9858200,638.0
40.39654000,-78.9854700,637.0
40.39635000,-78.9852200,637.0
40.39632000,-78.9850400,635.0
40.39624000,-78.9848500,634.0
40.39609000,-78.9847100,634.0
40.39572000,-78.9847300,641.0
40.39559000,-78.9846800,642.0
40.39546000,-78.9847200,645.0
40.39535000,-78.9846600,646.0
40.39527000,-78.9846400,647.0
40.39496000,-78.9845900,655.0
40.39477000,-78.9844700,658.0
40.39466000,-78.9843000,659.0
40.39448000,-78.9838700,660.0
40.39440000,-78.9837100,659.0
40.39441000,-78.9835800,656.0
40.39436000,-78.9835400,658.0
40.39424000,-78.9832800,659.0
40.39409000,-78.9832100,664.0
40.39395000,-78.9830200,666.0
40.39353000,-78.9828000,670.0
40.39332000,-78.9826700,671.0
40.39301000,-78.9826500,678.0
40.39270000,-78.9823900,679.0
40.39256000,-78.9822100,678.0
40.39244000,-78.9821700,680.0
40.39232000,-78.9821000,681.0
40.39195000,-78.9820200,686.0
40.39188000,-78.9818400,684.0
40.39171000,-78.9817100,687.0
40.39154000,-78.9816400,688.0
40.39119000,-78.9815600,691.0
40.39105000,-78.9815600,693.0
40.39052000,-78.9815200,698.0
40.39011000,-78.9813700,701.0
40.38984000,-78.9812200,707.0
40.38968000,-78.9811600,710.0
40.38957000,-78.9809900,711.0
40.38905000,-78.9807200,718.0
40.38900000,-78.9805600,719.0
40.38884000,-78.9804300,721.0
40.38877000,-78.9802200,720.0
40.38835000,-78.9795700,728.0
40.38824000,-78.9795000,731.0
40.38816000,-78.9793400,731.0
40.38798000,-78.9792500,734.0
40.38775000,-78.9787400,733.0
40.38754000,-78.9786000,736.0
40.38731000,-78.9784800,736.0
40.38700000,-78.9784500,738.0
40.38660000,-78.9786300,743.0
