Latitude,Longitude,Elevation
46.49448000,-91.4384300,376.0
46.49441000,-91.4374700,375.0
46.49433000,-91.4365100,375.0
46.49439000,-91.4358000,373.0
46.49445000,-91.4350900,371.0
46.49454000,-91.4343700,370.0
46.49462000,-91.4336500,371.0
46.49459000,-91.4331300,373.0
46.49437000,-91.4322700,372.0
46.49430000,-91.4318500,370.0
46.49446000,-91.4312800,369.0
46.49463000,-91.4305400,367.0
46.49460000,-91.4299200,365.0
46.49445000,-91.4294500,367.0
46.49418000,-91.4283200,367.0
46.49400000,-91.4276100,369.0
46.49382000,-91.4268900,371.0
46.49383000,-91.4260000,369.0
46.49401000,-91.4252400,369.0
46.49420000,-91.4248900,370.0
46.49459000,-91.4243900,369.0
46.49497000,-91.4238900,373.0
46.49550000,-91.4229300,364.0
46.49624000,-91.4226000,357.0
46.49623000,-91.4225300,357.0
46.49602000,-91.4213200,362.0
46.49617000,-91.4201500,369.0
46.49615000,-91.4190200,371.0
46.49597000,-91.4175800,377.0
46.49481000,-91.4159100,374.0
46.49467000,-91.4155300,373.0
46.49459000,-91.4150800,374.0
46.49457000,-91.4147800,375.0
46.49447000,-91.4135000,379.0
46.49443000,-91.4124800,384.0
46.49441000,-91.4114500,388.0
46.49442000,-91.4100100,391.0
46.49431000,-91.4078600,396.0
46.49390000,-91.4062600,400.0
46.49327000,-91.4046900,392.0
46.49323000,-91.4040400,395.0
46.49259000,-91.4026100,399.0
46.49178000,-91.4010500,395.0
46.49034000,-91.3995500,385.0
46.48925000,-91.3985200,387.0
46.48863000,-91.3980000,387.0
46.48775000,-91.3974100,387.0
46.48687000,-91.3969300,395.0
46.48556000,-91.3963100,398.0
46.48438000,-91.3957400,412.0
46.48349000,-91.3952800,416.0
46.48240000,-91.3953300,413.0
46.48149000,-91.3954900,411.0
46.48083000,-91.3957900,407.0
46.48006000,-91.3956000,405.0
46.47976000,-91.3955200,404.0
46.47960000,-91.3950300,403.0
46.47804000,-91.3928900,386.0
46.47753000,-91.3927900,388.0
46.47594000,-91.3911300,390.0
46.47564000,-91.3910500,391.0
46.47515000,-91.3907700,389.0
46.47484000,-91.3902800,389.0
46.47318000,-91.3877700,406.0
46.47198000,-91.3869000,404.0
46.47175000,-91.3860800,402.0
46.47146000,-91.3857000,403.0
46.47112000,-91.3854900,404.0
46.46931000,-91.3824700,404.0
46.46901000,-91.3821200,404.0
46.46873000,-91.3821000,403.0
46.46829000,-91.3823200,401.0
46.46792000,-91.3829900,401.0
46.46762000,-91.3830700,402.0
46.46736000,-91.3829700,403.0
46.46717000,-91.3826700,403.0
46.46679000,-91.3821200,404.0
46.46613000,-91.3775200,406.0
46.46630000,-91.3770700,406.0
46.46628000,-91.3768100,406.0
46.46630000,-91.3765600,407.0
46.46623000,-91.3761800,407.0
46.46613000,-91.3757600,408.0
46.46589000,-91.3752300,409.0
46.46477000,-91.3737500,409.0
46.46318000,-91.3720400,397.0
46.46117000,-91.3707000,409.0
46.46058000,-91.3703100,413.0
46.45976000,-91.3693400,417.0
46.45863000,-91.3684900,418.0
