Latitude,Longitude,Elevation
43.21390000,-74.2078200,280.0
43.21381000,-74.2077300,282.0
43.21380000,-74.2077400,282.0
43.21376000,-74.2078500,281.0
43.21374000,-74.2080000,280.0
43.21372000,-74.2081300,279.0
43.21363000,-74.2082100,279.0
43.21303000,-74.2086200,283.0
43.21260000,-74.2085900,286.0
43.21234000,-74.2084600,289.0
43.21225000,-74.2085600,289.0
43.21198000,-74.2088500,291.0
43.21190000,-74.2088600,292.0
43.21186000,-74.2088100,292.0
43.21129000,-74.2091700,306.0
43.21135000,-74.2096900,312.0
43.21111000,-74.2098800,319.0
43.21105000,-74.2100900,322.0
43.21104000,-74.2103500,326.0
43.21113000,-74.2105200,327.0
43.21112000,-74.2105700,328.0
43.21132000,-74.2108000,327.0
43.21130000,-74.2108500,328.0
43.21115000,-74.2108800,330.0
43.21109000,-74.2111200,334.0
43.21115000,-74.2113700,337.0
43.21167000,-74.2119300,342.0
43.21198000,-74.2124700,346.0
43.21200000,-74.2126100,347.0
43.21193000,-74.2129100,352.0
43.21194000,-74.2130400,353.0
43.21179000,-74.2131200,357.0
43.21162000,-74.2130700,360.0
43.21154000,-74.2131700,362.0
43.21144000,-74.2131400,364.0
43.21123000,-74.2128500,364.0
43.21101000,-74.2127000,365.0
43.21098000,-74.2127500,366.0
43.21075000,-74.2127100,369.0
43.21070000,-74.2127200,370.0
43.21067000,-74.2128600,372.0
43.21070000,-74.2130400,374.0
43.21063000,-74.2135100,382.0
43.20991000,-74.2131700,393.0
43.20983000,-74.2130700,393.0
43.20979000,-74.2131100,394.0
43.20972000,-74.2134800,400.0
43.20976000,-74.2135800,400.0
43.20972000,-74.2138200,402.0
43.20955000,-74.2140700,406.0
43.20935000,-74.2138800,409.0
43.20931000,-74.2139000,410.0
43.20902000,-74.2136800,413.0
43.20886000,-74.2136600,416.0
43.20884000,-74.2139400,418.0
43.20888000,-74.2142500,419.0
43.20880000,-74.2147200,421.0
43.20869000,-74.2149500,423.0
43.20867000,-74.2152600,425.0
43.20851000,-74.2156100,431.0
43.20850000,-74.2157500,433.0
43.20843000,-74.2158700,435.0
43.20835000,-74.2158800,436.0
43.20816000,-74.2156400,437.0
43.20808000,-74.2156900,438.0
43.20794000,-74.2161200,442.0
43.20791000,-74.2164100,443.0
43.20777000,-74.2166500,448.0
43.20760000,-74.2167700,451.0
43.20757000,-74.2169200,452.0
43.20751000,-74.2169800,453.0
43.20733000,-74.2174800,454.0
43.20731000,-74.2178000,455.0
43.20713000,-74.2178700,458.0
43.20705000,-74.2181100,460.0
43.20693000,-74.2182300,462.0
43.20693000,-74.2185500,462.0
43.20684000,-74.2190000,467.0
43.20685000,-74.2192800,471.0
43.20703000,-74.2203100,479.0
43.20740000,-74.2208200,477.0
43.20755000,-74.2211500,479.0
43.20760000,-74.2214500,481.0
43.20770000,-74.2216000,481.0
43.20789000,-74.2216900,481.0
43.20812000,-74.2221500,482.0
43.20806000,-74.2223500,482.0
43.20815000,-74.2230100,485.0
43.20863000,-74.2232900,493.0
43.20905000,-74.2238400,493.0
43.20911000,-74.2239500,495.0
43.20908000,-74.2240800,495.0
43.20895000,-74.2241900,494.0
43.20900000,-74.2242700,496.0
43.20913000,-74.2243300,498.0
43.20922000,-74.2242000,497.0
43.20942000,-74.2241500,497.0
43.20982000,-74.2243500,502.0
43.21017000,-74.2248200,508.0
43.21048000,-74.2249500,509.0
43.21055000,-74.2250400,509.0
43.21056000,-74.2251800,510.0
43.21075000,-74.2255200,510.0
43.21125000,-74.2261300,508.0
43.21154000,-74.2263500,506.0
43.21241000,-74.2270100,508.0
43.21259000,-74.2269800,511.0
43.21270000,-74.2270400,511.0
43.21301000,-74.2273500,508.0
43.21328000,-74.2275400,509.0
43.21338000,-74.2278700,508.0
43.21348000,-74.2286900,505.0
43.21354000,-74.2288300,507.0
43.21353000,-74.2290300,506.0
43.21361000,-74.2292300,507.0
43.21354000,-74.2295400,504.0
43.21350000,-74.2301100,500.0
43.21353000,-74.2303900,498.0
43.21369000,-74.2306000,501.0
43.21383000,-74.2311700,499.0
43.21381000,-74.2312400,498.0
43.21398000,-74.2316700,497.0
43.21408000,-74.2321900,498.0
43.21427000,-74.2325100,498.0
43.21441000,-74.2325900,499.0
43.21451000,-74.2327400,499.0
43.21455000,-74.2330700,499.0
43.21479000,-74.2337300,502.0
43.21483000,-74.2343700,497.0
43.21497000,-74.2346500,497.0
43.21503000,-74.2349100,495.0
43.21501000,-74.2350100,493.0
43.21529000,-74.2355700,495.0
43.21534000,-74.2358600,494.0
43.21556000,-74.2363300,489.0
43.21550000,-74.2364300,487.0
43.21555000,-74.2364200,487.0
43.21562000,-74.2365000,488.0
43.21578000,-74.2371100,485.0
43.21577000,-74.2374300,482.0
43.21586000,-74.2376400,481.0
43.21577000,-74.2380500,476.0
43.21576000,-74.2383200,474.0
43.21580000,-74.2384400,473.0
43.21573000,-74.2386300,473.0
43.21543000,-74.2390500,473.0
43.21540000,-74.2392500,473.0
43.21541000,-74.2395100,472.0
43.21547000,-74.2396200,471.0
43.21556000,-74.2402000,471.0
43.21553000,-74.2405300,472.0
43.21568000,-74.2410700,467.0
43.21575000,-74.2411700,466.0
