Latitude,Longitude,Elevation
32.58974000,-116.466980,885.0
32.58993000,-116.467030,883.0
32.59005000,-116.467190,880.0
32.59030000,-116.467830,876.0
32.59060000,-116.467880,873.0
32.59109000,-116.467680,871.0
32.59142000,-116.467660,870.0
32.59187000,-116.467120,865.0
32.59343000,-116.467080,858.0
32.59400000,-116.466720,851.0
32.59508000,-116.466730,847.0
32.59524000,-116.466630,847.0
32.59554000,-116.466710,844.0
32.59750000,-116.466710,825.0
32.59758000,-116.466830,823.0
32.59765000,-116.467480,822.0
32.59781000,-116.467970,824.0
32.59777000,-116.468270,824.0
32.59755000,-116.468680,824.0
32.59754000,-116.468850,824.0
32.59878000,-116.469460,821.0
32.59914000,-116.469750,820.0
32.59945000,-116.469700,820.0
32.59985000,-116.469780,817.0
32.60006000,-116.469980,815.0
32.60077000,-116.470130,815.0
32.60096000,-116.470420,818.0
32.60127000,-116.470250,816.0
32.60171000,-116.470350,811.0
32.60189000,-116.470220,809.0
32.60216000,-116.470420,811.0
32.60226000,-116.470280,808.0
32.60237000,-116.470390,809.0
32.60269000,-116.470440,807.0
32.60283000,-116.470330,805.0
32.60318000,-116.470290,803.0
32.60396000,-116.470470,798.0
32.60531000,-116.471360,790.0
32.60568000,-116.472380,792.0
32.60567000,-116.472790,796.0
32.60624000,-116.473370,792.0
32.60661000,-116.473960,798.0
32.60663000,-116.474160,800.0
32.60675000,-116.474270,798.0
32.60670000,-116.474640,801.0
32.60678000,-116.475000,797.0
32.60651000,-116.475350,801.0
32.60634000,-116.476000,800.0
32.60585000,-116.476620,805.0
32.60581000,-116.476990,802.0
32.60571000,-116.477110,800.0
32.60574000,-116.477290,799.0
32.60552000,-116.477630,794.0
32.60557000,-116.477780,793.0
32.60507000,-116.478150,787.0
32.60567000,-116.478540,782.0
32.60574000,-116.478790,780.0
32.60560000,-116.478780,781.0
32.60518000,-116.479180,786.0
32.60463000,-116.479390,788.0
32.60464000,-116.479940,782.0
32.60478000,-116.480130,783.0
32.60464000,-116.480390,779.0
32.60465000,-116.480750,775.0
32.60470000,-116.480960,773.0
32.60553000,-116.482290,759.0
32.60535000,-116.482770,755.0
32.60549000,-116.483250,754.0
32.60566000,-116.483530,755.0
32.60572000,-116.483250,756.0
32.60606000,-116.483230,759.0
32.60627000,-116.483020,759.0
32.60657000,-116.482930,759.0
32.60735000,-116.483090,756.0
32.60754000,-116.483460,753.0
32.60737000,-116.483750,752.0
32.60742000,-116.484010,748.0
32.60727000,-116.484170,749.0
32.60736000,-116.484630,743.0
32.60727000,-116.484710,742.0
32.60694000,-116.484720,744.0
32.60658000,-116.485330,740.0
32.60662000,-116.485450,738.0
32.60703000,-116.485580,737.0
32.60704000,-116.486070,739.0
32.60692000,-116.486330,739.0
32.60632000,-116.486870,738.0
32.60608000,-116.487270,741.0
32.60627000,-116.488200,745.0
32.60641000,-116.488390,747.0
32.60695000,-116.488440,749.0
32.60701000,-116.488860,749.0
32.60726000,-116.489240,752.0
32.60763000,-116.489610,756.0
32.60773000,-116.489900,758.0
32.60810000,-116.490420,763.0
32.60793000,-116.490570,762.0
32.60827000,-116.490770,764.0
32.60831000,-116.490940,765.0
32.60861000,-116.491100,766.0
32.60831000,-116.491100,766.0
32.60775000,-116.490890,764.0
32.60769000,-116.491030,765.0
32.60750000,-116.490980,764.0
