Latitude,Longitude,Elevation
32.97247000,-86.3481600,240.0
32.97250000,-86.3481400,240.0
32.97262000,-86.3481100,240.0
32.97276000,-86.3480500,239.0
32.97288000,-86.3479600,239.0
32.97296000,-86.3479200,239.0
32.97304000,-86.3478700,239.0
32.97307000,-86.3478900,239.0
32.97313000,-86.3480100,238.0
32.97304000,-86.3483100,239.0
32.97309000,-86.3484700,240.0
32.97317000,-86.3486000,241.0
32.97327000,-86.3486400,242.0
32.97324000,-86.3486800,242.0
32.97327000,-86.3487000,243.0
32.97333000,-86.3486200,242.0
32.97345000,-86.3485400,241.0
32.97340000,-86.3485200,241.0
32.97330000,-86.3485500,241.0
32.97344000,-86.3485300,241.0
32.97358000,-86.3485400,242.0
32.97370000,-86.3486300,245.0
32.97376000,-86.3487600,248.0
32.97386000,-86.3487400,249.0
32.97394000,-86.3487900,250.0
32.97402000,-86.3489200,252.0
32.97413000,-86.3490100,254.0
32.97425000,-86.3490700,254.0
32.97438000,-86.3490100,252.0
32.97449000,-86.3490800,253.0
32.97459000,-86.3491700,253.0
32.97469000,-86.3492800,253.0
32.97471000,-86.3494200,254.0
32.97471000,-86.3496000,254.0
32.97465000,-86.3497500,255.0
32.97461000,-86.3499100,256.0
32.97463000,-86.3500500,257.0
32.97477000,-86.3500800,256.0
32.97491000,-86.3501100,256.0
32.97503000,-86.3501600,258.0
32.97517000,-86.3502000,259.0
32.97530000,-86.3502800,261.0
32.97541000,-86.3503700,262.0
32.97555000,-86.3504100,262.0
32.97565000,-86.3504600,261.0
32.97566000,-86.3506400,264.0
32.97570000,-86.3507900,264.0
32.97577000,-86.3509400,264.0
32.97583000,-86.3510800,264.0
32.97583000,-86.3512500,268.0
32.97584000,-86.3514100,270.0
32.97589000,-86.3515600,271.0
32.97593000,-86.3517200,272.0
32.97593000,-86.3518800,273.0
32.97595000,-86.3520500,274.0
32.97597000,-86.3522000,275.0
32.97599000,-86.3523700,277.0
32.97596000,-86.3525400,278.0
32.97587000,-86.3526500,279.0
32.97587000,-86.3528000,279.0
32.97590000,-86.3529600,280.0
32.97598000,-86.3531000,283.0
32.97606000,-86.3532200,285.0
32.97616000,-86.3533400,287.0
32.97629000,-86.3533800,289.0
32.97643000,-86.3533400,292.0
32.97654000,-86.3532400,294.0
32.97662000,-86.3532600,297.0
32.97666000,-86.3534000,299.0
32.97669000,-86.3535700,301.0
32.97669000,-86.3537300,302.0
32.97682000,-86.3537900,307.0
32.97695000,-86.3537400,312.0
32.97707000,-86.3536900,317.0
32.97715000,-86.3538400,321.0
32.97716000,-86.3540100,321.0
32.97717000,-86.3541800,322.0
32.97720000,-86.3543200,324.0
32.97727000,-86.3544600,329.0
32.97728000,-86.3546300,332.0
32.97729000,-86.3547400,333.0
