Latitude,Longitude,Elevation
39.10439000,-119.897210,2178.0
39.10438000,-119.897210,2178.0
39.10434000,-119.896780,2181.0
39.10444000,-119.896940,2181.0
39.10544000,-119.898040,2203.0
39.10584000,-119.898400,2205.0
39.10599000,-119.899090,2197.0
39.10628000,-119.899290,2203.0
39.10685000,-119.900420,2205.0
39.10823000,-119.901050,2200.0
39.10898000,-119.900900,2212.0
39.10952000,-119.900440,2219.0
39.11025000,-119.900310,2229.0
39.11064000,-119.899780,2241.0
39.11066000,-119.898880,2249.0
39.11106000,-119.898630,2256.0
39.11133000,-119.899960,2257.0
39.11194000,-119.900470,2268.0
39.11244000,-119.900290,2271.0
39.11297000,-119.900520,2272.0
39.11330000,-119.901570,2272.0
39.11401000,-119.901770,2286.0
39.11461000,-119.901060,2287.0
39.11521000,-119.900810,2281.0
39.11543000,-119.901620,2289.0
39.11593000,-119.901440,2300.0
39.11586000,-119.902220,2297.0
39.11636000,-119.901360,2305.0
39.11679000,-119.901020,2319.0
39.11665000,-119.900630,2314.0
39.11732000,-119.899520,2324.0
39.11854000,-119.898920,2346.0
39.11904000,-119.898150,2341.0
39.11923000,-119.898390,2344.0
39.11912000,-119.898860,2353.0
39.11947000,-119.899480,2363.0
39.11998000,-119.899130,2370.0
39.12018000,-119.898830,2373.0
39.12089000,-119.898390,2386.0
39.12105000,-119.898910,2393.0
39.12098000,-119.899520,2395.0
39.12104000,-119.899860,2397.0
39.12154000,-119.899900,2402.0
39.12167000,-119.899510,2407.0
39.12246000,-119.898430,2421.0
39.12320000,-119.897510,2436.0
39.12323000,-119.899450,2437.0
39.12376000,-119.900210,2439.0
39.12408000,-119.900250,2439.0
39.12462000,-119.899960,2435.0
39.12448000,-119.900460,2442.0
39.12413000,-119.901030,2441.0
39.12345000,-119.901870,2450.0
39.12418000,-119.901710,2456.0
39.12453000,-119.901690,2462.0
39.12511000,-119.901490,2469.0
39.12541000,-119.901870,2476.0
39.12578000,-119.901630,2476.0
39.12619000,-119.901540,2478.0
39.12685000,-119.901640,2483.0
39.12712000,-119.901190,2483.0
39.12799000,-119.900800,2498.0
39.12818000,-119.900360,2501.0
39.12793000,-119.899880,2493.0
39.12793000,-119.899450,2494.0
39.12819000,-119.898660,2487.0
39.12860000,-119.898330,2492.0
39.12901000,-119.898310,2496.0
39.12941000,-119.898270,2496.0
39.12999000,-119.897730,2493.0
39.13037000,-119.897490,2497.0
39.13075000,-119.896660,2495.0
39.13166000,-119.895920,2493.0
39.13169000,-119.895360,2487.0
39.13241000,-119.895550,2498.0
39.13305000,-119.896320,2501.0
39.13362000,-119.896340,2506.0
39.13371000,-119.895780,2507.0
39.13438000,-119.895640,2517.0
39.13509000,-119.895400,2519.0
39.13547000,-119.894870,2527.0
39.13554000,-119.893560,2537.0
39.13678000,-119.892130,2548.0
39.13786000,-119.891710,2549.0
39.13804000,-119.891070,2553.0
39.13822000,-119.891360,2553.0
39.13836000,-119.890750,2556.0
39.13862000,-119.890400,2545.0
39.13903000,-119.889790,2553.0
39.13880000,-119.889230,2551.0
39.13865000,-119.888500,2554.0
39.13882000,-119.887550,2559.0
39.13900000,-119.888450,2563.0
39.13931000,-119.888660,2567.0
39.13993000,-119.888440,2584.0
39.14037000,-119.887890,2590.0
39.14053000,-119.886990,2605.0
39.14093000,-119.886790,2610.0
39.14111000,-119.886780,2614.0
39.14133000,-119.886940,2611.0
39.14155000,-119.886990,2611.0
39.14169000,-119.886990,2613.0
39.14191000,-119.887020,2616.0
39.14234000,-119.887040,2622.0
39.14332000,-119.887080,2637.0
39.14401000,-119.887080,2640.0
39.14433000,-119.887100,2641.0
39.14452000,-119.887080,2643.0
39.14492000,-119.886910,2651.0
39.14528000,-119.886790,2653.0
39.14593000,-119.886740,2661.0
39.14661000,-119.886590,2667.0
39.14701000,-119.886550,2669.0
39.14732000,-119.886540,2668.0
39.14766000,-119.886450,2672.0
39.14803000,-119.886340,2673.0
