Latitude,Longitude,Elevation
34.62669000,-84.1939000,1144.0
34.62707000,-84.1939500,1146.0
34.62747000,-84.1940300,1145.0
34.62787000,-84.1941300,1142.0
34.62827000,-84.1942100,1140.0
34.62868000,-84.1942200,1140.0
34.62908000,-84.1942400,1138.0
34.62949000,-84.1943100,1135.0
34.62980000,-84.1945400,1131.0
34.63000000,-84.1948800,1127.0
34.63034000,-84.1951300,1124.0
34.63065000,-84.1953900,1117.0
34.63094000,-84.1952200,1123.0
34.63130000,-84.1954300,1118.0
34.63165000,-84.1956700,1113.0
34.63194000,-84.1959600,1108.0
34.63224000,-84.1962700,1106.0
34.63250000,-84.1966500,1100.0
34.63278000,-84.1970100,1093.0
34.63308000,-84.1973300,1087.0
34.63342000,-84.1974200,1087.0
34.63382000,-84.1975100,1085.0
34.63423000,-84.1974900,1082.0
34.63461000,-84.1975600,1073.0
34.63500000,-84.1974800,1076.0
34.63540000,-84.1973900,1075.0
34.63581000,-84.1973800,1071.0
34.63622000,-84.1973700,1063.0
34.63661000,-84.1973200,1054.0
34.63700000,-84.1972200,1052.0
34.63738000,-84.1970600,1048.0
34.63759000,-84.1966600,1046.0
34.63752000,-84.1961900,1040.0
34.63739000,-84.1957500,1036.0
34.63767000,-84.1954800,1032.0
34.63779000,-84.1950400,1034.0
34.63771000,-84.1945800,1040.0
34.63755000,-84.1941400,1042.0
34.63758000,-84.1936600,1042.0
34.63770000,-84.1932000,1043.0
34.63776000,-84.1927500,1036.0
34.63801000,-84.1923700,1037.0
34.63834000,-84.1921000,1037.0
34.63873000,-84.1919900,1033.0
34.63911000,-84.1918300,1029.0
34.63948000,-84.1916200,1028.0
34.63985000,-84.1915500,1029.0
34.64018000,-84.1913200,1030.0
34.64058000,-84.1913000,1025.0
34.64098000,-84.1913000,1016.0
34.64136000,-84.1914500,1011.0
34.64175000,-84.1916100,1007.0
34.64214000,-84.1917000,1004.0
34.64251000,-84.1915400,1004.0
34.64292000,-84.1914700,1000.0
34.64332000,-84.1914300,997.0
34.64368000,-84.1915000,995.0
34.64403000,-84.1912900,994.0
34.64439000,-84.1910800,994.0
34.64478000,-84.1909500,997.0
34.64519000,-84.1909700,999.0
34.64554000,-84.1911900,1000.0
34.64574000,-84.1916100,1000.0
34.64607000,-84.1919000,1003.0
34.64645000,-84.1920800,1007.0
34.64684000,-84.1921700,1009.0
34.64722000,-84.1923200,1009.0
34.64762000,-84.1923400,1009.0
34.64775000,-84.1927200,1009.0
34.64781000,-84.1931800,1009.0
34.64790000,-84.1936500,1007.0
34.64779000,-84.1941000,1000.0
34.64752000,-84.1944600,998.0
34.64720000,-84.1947500,993.0
34.64693000,-84.1950800,984.0
34.64655000,-84.1952400,990.0
34.64625000,-84.1955600,986.0
34.64600000,-84.1959300,983.0
34.64598000,-84.1964100,972.0
34.64597000,-84.1968900,970.0
34.64620000,-84.1972700,965.0
34.64619000,-84.1976500,967.0
34.64640000,-84.1980300,956.0
34.64673000,-84.1981300,945.0
34.64700000,-84.1978400,939.0
34.64723000,-84.1977500,934.0
34.64730000,-84.1982100,935.0
34.64759000,-84.1983700,928.0
34.64797000,-84.1983100,922.0
34.64835000,-84.1984600,918.0
34.64872000,-84.1985700,915.0
34.64906000,-84.1987400,906.0
34.64920000,-84.1992000,901.0
34.64942000,-84.1994800,897.0
34.64974000,-84.1996500,896.0
34.64988000,-84.1993900,897.0
34.65012000,-84.1990100,896.0
34.65041000,-84.1986900,892.0
34.65080000,-84.1986400,895.0
34.65093000,-84.1982500,897.0
34.65123000,-84.1979700,900.0
34.65164000,-84.1979600,899.0
34.65188000,-84.1977800,891.0
34.65228000,-84.1977900,888.0
34.65269000,-84.1978400,884.0
34.65306000,-84.1977300,874.0
34.65340000,-84.1976500,872.0
34.65376000,-84.1976400,871.0
34.65408000,-84.1977200,873.0
34.65405000,-84.1972300,863.0
34.65404000,-84.1967400,859.0
34.65401000,-84.1962900,855.0
34.65432000,-84.1960500,852.0
34.65470000,-84.1959600,851.0
34.65507000,-84.1957500,845.0
34.65545000,-84.1956000,843.0
34.65579000,-84.1953700,840.0
34.65606000,-84.1949900,838.0
34.65635000,-84.1946500,837.0
34.65671000,-84.1944400,838.0
34.65704000,-84.1941700,839.0
34.65733000,-84.1938300,842.0
34.65753000,-84.1934100,843.0
34.65775000,-84.1930400,837.0
34.65810000,-84.1928600,838.0
34.65832000,-84.1924500,840.0
34.65857000,-84.1920800,835.0
34.65887000,-84.1917700,833.0
34.65911000,-84.1913700,832.0
34.65935000,-84.1909800,834.0
34.65955000,-84.1905600,834.0
34.65968000,-84.1901400,827.0
34.65968000,-84.1897100,824.0
34.65986000,-84.1892700,825.0
34.66008000,-84.1888500,825.0
34.66038000,-84.1885300,823.0
34.66075000,-84.1883900,819.0
34.66088000,-84.1879400,816.0
34.66085000,-84.1874600,819.0
34.66109000,-84.1870700,816.0
34.66125000,-84.1866300,814.0
34.66139000,-84.1861700,811.0
34.66164000,-84.1857800,809.0
34.66196000,-84.1854700,800.0
34.66227000,-84.1851600,792.0
34.66235000,-84.1847400,791.0
34.66249000,-84.1843900,793.0
34.66286000,-84.1842700,789.0
34.66325000,-84.1841200,790.0
34.66363000,-84.1839500,796.0
34.66402000,-84.1838100,795.0
34.66440000,-84.1836300,794.0
34.66469000,-84.1832900,797.0
34.66502000,-84.1829900,799.0
34.66531000,-84.1826600,795.0
34.66563000,-84.1823500,788.0
34.66580000,-84.1819300,791.0
34.66600000,-84.1815200,794.0
34.66622000,-84.1811200,793.0
34.66628000,-84.1806500,794.0
34.66653000,-84.1803400,794.0
34.66667000,-84.1799500,795.0
34.66674000,-84.1794700,798.0
34.66692000,-84.1792200,801.0
34.66700000,-84.1788400,806.0
34.66695000,-84.1783700,811.0
34.66716000,-84.1779500,809.0
34.66726000,-84.1774900,807.0
34.66724000,-84.1770200,811.0
34.66732000,-84.1765700,815.0
34.66740000,-84.1761100,818.0
34.66727000,-84.1756500,826.0
34.66718000,-84.1751900,835.0
34.66707000,-84.1747200,841.0
34.66694000,-84.1742700,849.0
34.66684000,-84.1738200,857.0
34.66712000,-84.1735100,858.0
34.66726000,-84.1730800,863.0
34.66715000,-84.1726100,866.0
34.66709000,-84.1721200,862.0
34.66703000,-84.1716400,865.0
