Latitude,Longitude,Elevation
42.74385000,-73.1554400,719.0
42.74385000,-73.1554500,719.0
42.74416000,-73.1553600,720.0
42.74446000,-73.1551300,720.0
42.74466000,-73.1550200,720.0
42.74501000,-73.1547900,716.0
42.74531000,-73.1544400,711.0
42.74553000,-73.1542200,708.0
42.74575000,-73.1539400,704.0
42.74592000,-73.1536900,701.0
42.74620000,-73.1534100,698.0
42.74645000,-73.1532400,698.0
42.74646000,-73.1532400,698.0
42.74650000,-73.1530700,698.0
42.74648000,-73.1528800,697.0
42.74647000,-73.1526400,694.0
42.74648000,-73.1525900,693.0
42.74651000,-73.1523100,687.0
42.74654000,-73.1520800,683.0
42.74663000,-73.1519000,681.0
42.74670000,-73.1516700,678.0
42.74668000,-73.1515400,676.0
42.74654000,-73.1513900,674.0
42.74660000,-73.1511500,669.0
42.74677000,-73.1509300,665.0
42.74678000,-73.1507400,661.0
42.74677000,-73.1505500,658.0
42.74685000,-73.1504100,657.0
42.74690000,-73.1502900,656.0
42.74691000,-73.1501800,656.0
42.74696000,-73.1499600,657.0
42.74697000,-73.1496300,660.0
42.74695000,-73.1494200,663.0
42.74697000,-73.1492200,666.0
42.74721000,-73.1486100,668.0
42.74736000,-73.1483800,667.0
42.74737000,-73.1482300,668.0
42.74751000,-73.1479600,668.0
42.74770000,-73.1476400,670.0
42.74788000,-73.1473800,672.0
42.74801000,-73.1472700,673.0
42.74803000,-73.1470700,676.0
42.74802000,-73.1469700,677.0
42.74812000,-73.1467100,680.0
42.74832000,-73.1465400,680.0
42.74858000,-73.1462500,677.0
42.74882000,-73.1460600,673.0
42.74881000,-73.1459600,673.0
42.74855000,-73.1453900,674.0
42.74831000,-73.1446500,663.0
42.74832000,-73.1442700,658.0
42.74839000,-73.1440900,658.0
42.74854000,-73.1435600,659.0
42.74863000,-73.1431300,655.0
42.74860000,-73.1428800,651.0
42.74881000,-73.1425800,650.0
42.74916000,-73.1423400,652.0
42.74958000,-73.1421300,652.0
42.74997000,-73.1420200,651.0
42.75016000,-73.1419500,651.0
42.75040000,-73.1419600,650.0
42.75055000,-73.1420100,650.0
42.75079000,-73.1419800,648.0
42.75108000,-73.1418400,648.0
42.75147000,-73.1419600,649.0
42.75174000,-73.1420400,649.0
42.75192000,-73.1421900,650.0
42.75217000,-73.1422400,650.0
42.75241000,-73.1421600,650.0
42.75265000,-73.1417700,649.0
42.75278000,-73.1417200,650.0
42.75290000,-73.1417300,650.0
42.75305000,-73.1418100,650.0
42.75321000,-73.1417600,649.0
42.75330000,-73.1414700,650.0
42.75363000,-73.1411400,653.0
42.75388000,-73.1410300,655.0
42.75407000,-73.1408400,655.0
42.75428000,-73.1406800,655.0
42.75439000,-73.1406200,655.0
42.75454000,-73.1406300,655.0
42.75469000,-73.1406300,654.0
42.75492000,-73.1407100,654.0
42.75516000,-73.1406900,653.0
42.75527000,-73.1405900,653.0
42.75534000,-73.1402400,653.0
42.75549000,-73.1400200,651.0
42.75563000,-73.1398500,650.0
42.75581000,-73.1396300,652.0
42.75594000,-73.1394300,654.0
42.75608000,-73.1393800,654.0
42.75622000,-73.1391800,655.0
42.75637000,-73.1390800,656.0
42.75655000,-73.1390800,656.0
42.75660000,-73.1390500,656.0
42.75666000,-73.1390200,656.0
42.75682000,-73.1389700,656.0
42.75690000,-73.1388600,657.0
42.75708000,-73.1387600,657.0
42.75724000,-73.1386300,658.0
42.75742000,-73.1384900,658.0
42.75750000,-73.1383700,658.0
42.75755000,-73.1380200,657.0
42.75762000,-73.1379100,657.0
42.75770000,-73.1377100,656.0
42.75788000,-73.1375700,657.0
42.75797000,-73.1375400,659.0
42.75826000,-73.1374600,665.0
42.75846000,-73.1374500,669.0
42.75858000,-73.1374500,672.0
42.75870000,-73.1373800,675.0
42.75880000,-73.1372400,678.0
42.75895000,-73.1370900,681.0
42.75903000,-73.1369800,683.0
42.75919000,-73.1368200,685.0
42.75937000,-73.1367800,688.0
42.75953000,-73.1367700,691.0
42.75972000,-73.1367000,694.0
42.75985000,-73.1366700,695.0
42.76003000,-73.1366700,697.0
42.76014000,-73.1367300,697.0
42.76032000,-73.1368300,698.0
42.76043000,-73.1368900,698.0
42.76059000,-73.1368700,697.0
42.76074000,-73.1369200,696.0
42.76079000,-73.1370200,696.0
42.76086000,-73.1372300,698.0
42.76097000,-73.1373600,698.0
42.76118000,-73.1376300,699.0
42.76136000,-73.1377600,699.0
42.76149000,-73.1377900,698.0
42.76167000,-73.1377500,697.0
42.76189000,-73.1377400,696.0
42.76235000,-73.1377200,691.0
42.76251000,-73.1376400,689.0
