Latitude,Longitude,Elevation
46.76641000,-121.791220,975.0
46.76662000,-121.791080,976.0
46.76656000,-121.791080,976.0
46.76654000,-121.791080,975.0
46.76652000,-121.791080,975.0
46.76651000,-121.791090,975.0
46.76650000,-121.791100,975.0
46.76648000,-121.791120,975.0
46.76646000,-121.791130,975.0
46.76643000,-121.791140,974.0
46.76641000,-121.791150,974.0
46.76639000,-121.791160,974.0
46.76637000,-121.791160,974.0
46.76635000,-121.791160,974.0
46.76632000,-121.791160,974.0
46.76629000,-121.791150,973.0
46.76626000,-121.791150,973.0
46.76624000,-121.791160,973.0
46.76619000,-121.791180,973.0
46.76610000,-121.791240,973.0
46.76608000,-121.791260,973.0
46.76606000,-121.791280,973.0
46.76604000,-121.791290,972.0
46.76602000,-121.791290,972.0
46.76600000,-121.791300,972.0
46.76598000,-121.791300,972.0
46.76597000,-121.791310,972.0
46.76595000,-121.791310,971.0
46.76593000,-121.791310,971.0
46.76591000,-121.791310,971.0
46.76590000,-121.791320,971.0
46.76582000,-121.791340,970.0
46.76580000,-121.791350,970.0
46.76576000,-121.791390,970.0
46.76574000,-121.791400,970.0
46.76573000,-121.791410,970.0
46.76572000,-121.791420,970.0
46.76571000,-121.791440,971.0
46.76570000,-121.791460,971.0
46.76569000,-121.791480,971.0
46.76568000,-121.791490,971.0
46.76567000,-121.791500,971.0
46.76566000,-121.791520,971.0
46.76564000,-121.791530,971.0
46.76561000,-121.791550,971.0
46.76559000,-121.791560,971.0
46.76557000,-121.791570,971.0
46.76556000,-121.791580,971.0
46.76555000,-121.791590,971.0
46.76548000,-121.791640,971.0
46.76546000,-121.791660,971.0
46.76545000,-121.791680,972.0
46.76545000,-121.791710,972.0
46.76544000,-121.791730,972.0
46.76543000,-121.791740,972.0
46.76539000,-121.791810,972.0
46.76535000,-121.791850,972.0
46.76533000,-121.791860,972.0
46.76532000,-121.791890,972.0
46.76532000,-121.791920,972.0
46.76532000,-121.791940,972.0
46.76532000,-121.791960,972.0
46.76532000,-121.791990,972.0
46.76532000,-121.792020,972.0
46.76532000,-121.792070,972.0
46.76528000,-121.792150,972.0
46.76526000,-121.792230,971.0
46.76525000,-121.792290,971.0
