Latitude,Longitude,Elevation
40.29880000,-77.1015100,358.0
40.29881000,-77.1015500,358.0
40.29878000,-77.1016700,358.0
40.29871000,-77.1018500,358.0
40.29868000,-77.1019700,358.0
40.29868000,-77.1026500,366.0
40.29869000,-77.1032600,372.0
40.29867000,-77.1040700,375.0
40.29868000,-77.1043800,379.0
40.29870000,-77.1045900,383.0
40.29876000,-77.1048000,387.0
40.29899000,-77.1052500,388.0
40.29903000,-77.1053800,387.0
40.29906000,-77.1055000,386.0
40.29906000,-77.1056000,386.0
40.29905000,-77.1058000,385.0
40.29878000,-77.1077100,383.0
40.29874000,-77.1079400,381.0
40.29869000,-77.1080400,380.0
40.29837000,-77.1085200,377.0
40.29831000,-77.1086800,376.0
40.29818000,-77.1091400,372.0
40.29814000,-77.1093300,371.0
40.29812000,-77.1096000,370.0
40.29810000,-77.1101300,370.0
40.29790000,-77.1117700,384.0
40.29784000,-77.1121800,386.0
40.29765000,-77.1129900,388.0
40.29753000,-77.1138600,387.0
40.29748000,-77.1149400,385.0
40.29731000,-77.1163300,383.0
40.29730000,-77.1165500,384.0
40.29731000,-77.1167400,385.0
40.29746000,-77.1175600,382.0
40.29746000,-77.1178300,381.0
40.29729000,-77.1187500,387.0
40.29720000,-77.1194100,391.0
40.29715000,-77.1202800,394.0
40.29706000,-77.1212900,394.0
40.29705000,-77.1215500,394.0
40.29706000,-77.1224600,395.0
40.29702000,-77.1231300,392.0
40.29680000,-77.1243500,391.0
40.29653000,-77.1262400,375.0
40.29640000,-77.1269400,364.0
40.29602000,-77.1282300,340.0
40.29600000,-77.1283000,339.0
40.29585000,-77.1287300,332.0
40.29572000,-77.1291000,329.0
40.29561000,-77.1294300,329.0
40.29554000,-77.1297000,325.0
40.29555000,-77.1298900,323.0
40.29569000,-77.1302800,319.0
40.29584000,-77.1306900,311.0
40.29577000,-77.1309800,304.0
40.29569000,-77.1313700,297.0
40.29555000,-77.1315500,296.0
40.29542000,-77.1316400,295.0
40.29541000,-77.1317200,294.0
40.29550000,-77.1320200,290.0
40.29556000,-77.1321700,286.0
40.29558000,-77.1323800,283.0
40.29557000,-77.1324500,283.0
40.29544000,-77.1325600,282.0
40.29536000,-77.1327100,282.0
40.29557000,-77.1329800,280.0
40.29566000,-77.1331900,280.0
40.29565000,-77.1333500,281.0
40.29576000,-77.1334300,283.0
40.29616000,-77.1338000,285.0
40.29644000,-77.1340500,281.0
40.29660000,-77.1342200,278.0
40.29677000,-77.1344100,277.0
40.29694000,-77.1346400,277.0
40.29711000,-77.1349000,275.0
40.29728000,-77.1351700,272.0
40.29798000,-77.1363900,261.0
40.29817000,-77.1367500,265.0
40.29833000,-77.1370500,266.0
40.29839000,-77.1371900,266.0
40.29843000,-77.1373200,266.0
40.29850000,-77.1375300,264.0
40.29860000,-77.1379000,265.0
40.29872000,-77.1383500,266.0
40.29901000,-77.1394400,261.0
40.29912000,-77.1398800,261.0
40.29929000,-77.1405200,262.0
40.29961000,-77.1416700,259.0
40.29953000,-77.1417000,261.0
40.29944000,-77.1418300,262.0
40.29946000,-77.1420600,261.0
40.29947000,-77.1421300,261.0
40.29957000,-77.1426200,260.0
40.29957000,-77.1426400,260.0
40.29955000,-77.1429000,259.0
40.29948000,-77.1430900,259.0
40.29939000,-77.1433200,261.0
40.29921000,-77.1440000,265.0
40.29909000,-77.1443000,267.0
40.29839000,-77.1454900,275.0
40.29751000,-77.1463700,286.0
40.29690000,-77.1472000,287.0
40.29631000,-77.1481200,292.0
40.29600000,-77.1488400,294.0
40.29562000,-77.1493900,300.0
40.29531000,-77.1503200,302.0
40.29514000,-77.1525600,309.0
40.29489000,-77.1531400,315.0
40.29464000,-77.1540000,320.0
40.29456000,-77.1550700,323.0
40.29473000,-77.1560300,320.0
40.29471000,-77.1573100,310.0
40.29478000,-77.1578600,303.0
40.29467000,-77.1582000,305.0
40.29440000,-77.1587700,313.0
40.29421000,-77.1598300,315.0
40.29380000,-77.1604100,321.0
40.29355000,-77.1608200,323.0
40.29345000,-77.1613600,319.0
40.29332000,-77.1616100,322.0
40.29306000,-77.1616500,329.0
40.29254000,-77.1616100,348.0
40.29211000,-77.1614800,363.0
40.29179000,-77.1613800,370.0
40.29148000,-77.1614700,375.0
40.29077000,-77.1614200,391.0
40.29031000,-77.1614200,398.0
40.29017000,-77.1614500,400.0
40.29000000,-77.1614800,403.0
40.28984000,-77.1615400,405.0
40.28975000,-77.1616200,406.0
40.28972000,-77.1619900,409.0
40.28974000,-77.1624600,412.0
40.28974000,-77.1625700,412.0
40.28974000,-77.1625900,412.0
40.28976000,-77.1631500,410.0
40.28952000,-77.1641700,401.0
40.28925000,-77.1645100,399.0
40.28947000,-77.1650700,406.0
40.28937000,-77.1658400,413.0
40.28964000,-77.1670600,426.0
40.28961000,-77.1676800,428.0
40.28939000,-77.1682100,426.0
40.28934000,-77.1697900,423.0
40.28914000,-77.1701800,418.0
40.28885000,-77.1723100,412.0
40.28898000,-77.1735200,426.0
40.28925000,-77.1738100,429.0
40.28939000,-77.1741300,434.0
40.28927000,-77.1768000,437.0
40.28881000,-77.1771900,430.0
40.28858000,-77.1776300,424.0
40.28842000,-77.1798600,424.0
40.28838000,-77.1807200,427.0
40.28810000,-77.1809700,419.0
40.28808000,-77.1815500,412.0
40.28784000,-77.1820200,402.0
40.28781000,-77.1827200,396.0
40.28760000,-77.1835700,394.0
40.28775000,-77.1845200,406.0
40.28760000,-77.1853800,412.0
40.28751000,-77.1865200,414.0
40.28773000,-77.1872100,424.0
40.28790000,-77.1882100,420.0
40.28790000,-77.1889400,411.0
40.28800000,-77.1896700,399.0
40.28840000,-77.1902400,386.0
40.28850000,-77.1909100,374.0
40.28877000,-77.1915900,365.0
40.28871000,-77.1917700,364.0
40.28832000,-77.1919600,369.0
40.28781000,-77.1931700,378.0
40.28844000,-77.1944900,395.0
40.28848000,-77.1951400,402.0
40.28768000,-77.1957300,421.0
40.28729000,-77.1961200,427.0
40.28717000,-77.1967200,436.0
40.28707000,-77.1980500,445.0
40.28714000,-77.1987200,447.0
40.28690000,-77.1991500,445.0
40.28667000,-77.1996500,440.0
40.28666000,-77.2009200,445.0
40.28652000,-77.2014800,443.0
40.28637000,-77.2032900,443.0
40.28621000,-77.2045000,431.0
40.28632000,-77.2066100,421.0
40.28666000,-77.2076700,410.0
40.28662000,-77.2089100,400.0
40.28657000,-77.2091000,399.0
40.28626000,-77.2094400,401.0
40.28603000,-77.2098600,402.0
40.28604000,-77.2103200,401.0
40.28626000,-77.2112400,405.0
40.28647000,-77.2125200,418.0
40.28632000,-77.2131300,426.0
40.28582000,-77.2140500,432.0
40.28581000,-77.2147900,426.0
40.28605000,-77.2153100,417.0
40.28622000,-77.2158900,409.0
40.28617000,-77.2164100,409.0
40.28579000,-77.2169400,424.0
40.28551000,-77.2175900,429.0
40.28538000,-77.2179300,431.0
40.28567000,-77.2190100,419.0
40.28606000,-77.2203200,402.0
40.28674000,-77.2216800,395.0
40.28751000,-77.2229300,402.0
40.28781000,-77.2240000,392.0
40.28790000,-77.2252000,390.0
40.28794000,-77.2263100,385.0
40.28771000,-77.2274200,381.0
40.28760000,-77.2286000,364.0
40.28727000,-77.2288000,370.0
40.28675000,-77.2287700,381.0
40.28648000,-77.2286300,387.0
40.28619000,-77.2278600,401.0
40.28593000,-77.2270500,412.0
