distance,Batona Trail,North Country National Scenic Trail,Laurel Highlands Hiking Trail,The Wonderland Trail, otherTrail

0,1815.0,36.0,1053.0,1567.0,1683.0

10,2557.0,38.0,960.0,3255.0,2048.0

20,1724.0,28.0,881.0,1843.0,2236.0

30,1671.0,14.0,836.0,2577.0,2348.0

40,1443.0,18.0,613.0,3532.0,2576.0

50,1247.0,12.0,563.0,3456.0,3184.0

60,1470.0,-,903.0,3145.0,3068.0

70,1649.0,-,892.0,3128.0,3144.0

80,1733.0,-,1253.0,3357.0,3597.0

90,1465.0,-,484.0,2447.0,3413.0

100,1237.0,-,432.0,2708.0,2906.0

110,1088.0,-,325.0,3042.0,3294.0

120,1117.0,-,660.0,3336.0,3592.0

130,1315.0,-,1016.0,2306.0,2893.0

140,2577.0,-,950.0,2280.0,3228.0

150,1360.0,-,1078.0,-,3099.0

160,1335.0,-,1496.0,-,3264.0

170,1275.0,-,551.0,-,2823.0

180,2431.0,-,656.0,-,2968.0

190,1929.0,-,679.0,-,3587.0

200,1248.0,-,565.0,-,3324.0

210,1146.0,-,541.0,-,3017.0

220,1059.0,-,669.0,-,2703.0

230,1146.0,-,1305.0,-,3093.0

240,1096.0,-,1459.0,-,2741.0

250,944.0,-,1001.0,-,3590.0

260,590.0,-,977.0,-,3280.0

270,559.0,-,1751.0,-,3417.0

280,513.0,-,-,-,3389.0

290,1110.0,-,-,-,2997.0

300,777.0,-,-,-,2862.0

310,907.0,-,-,-,3023.0

320,1453.0,-,-,-,-

330,1483.0,-,-,-,3101.0

340,1127.0,-,-,-,3171.0

350,1022.0,-,-,-,3774.0

360,1733.0,-,-,-,3757.0

370,1765.0,-,-,-,3627.0

380,1273.0,-,-,-,4021.0

390,1151.0,-,-,-,3884.0

400,1509.0,-,-,-,3735.0

410,2098.0,-,-,-,2998.0

420,1930.0,-,-,-,3435.0

430,1830.0,-,-,-,3535.0

440,1268.0,-,-,-,3498.0

450,1810.0,-,-,-,3291.0

460,1643.0,-,-,-,3437.0

470,1714.0,-,-,-,3298.0

480,1984.0,-,-,-,2836.0

490,2070.0,-,-,-,-

500,2025.0,-,-,-,-

510,2165.0,-,-,-,-

520,2295.0,-,-,-,-

530,2278.0,-,-,-,-

540,2237.0,-,-,-,-

550,2157.0,-,-,-,-

560,2185.0,-,-,-,-

570,2082.0,-,-,-,-

580,2314.0,-,-,-,-

590,2723.0,-,-,-,-

600,2368.0,-,-,-,-

610,1951.0,-,-,-,-

620,1932.0,-,-,-,-

630,1963.0,-,-,-,-

640,2045.0,-,-,-,-

650,2242.0,-,-,-,-

660,2151.0,-,-,-,-

670,2047.0,-,-,-,-

680,1732.0,-,-,-,-

690,1093.0,-,-,-,-

700,2549.0,-,-,-,-

710,2781.0,-,-,-,-

720,2675.0,-,-,-,-

730,2677.0,-,-,-,-

740,2607.0,-,-,-,-

750,2312.0,-,-,-,-

760,2039.0,-,-,-,-

770,1949.0,-,-,-,-

780,-,-,-,-,-

790,-,-,-,-,-

800,-,-,-,-,-

810,-,-,-,-,-

820,-,-,-,-,-

830,-,-,-,-,-

840,-,-,-,-,-

850,-,-,-,-,-

860,-,-,-,-,-

870,-,-,-,-,-

880,-,-,-,-,-

890,-,-,-,-,-

900,-,-,-,-,-

910,-,-,-,-,-

920,-,-,-,-,-

930,-,-,-,-,-

940,-,-,-,-,-

950,-,-,-,-,-

960,-,-,-,-,-

970,-,-,-,-,-

980,-,-,-,-,-

990,-,-,-,-,-

1000,-,-,-,-,-

1010,-,-,-,-,-

1020,-,-,-,-,-

1030,-,-,-,-,-

1040,-,-,-,-,-

1050,-,-,-,-,-

1060,-,-,-,-,-

1070,-,-,-,-,-

1080,-,-,-,-,-

1090,-,-,-,-,-

1100,-,-,-,-,-

1110,-,-,-,-,-

1120,-,-,-,-,-

1130,-,-,-,-,-

1140,-,-,-,-,-

1150,-,-,-,-,-

1160,-,-,-,-,-

1170,-,-,-,-,-

1180,-,-,-,-,-

1190,-,-,-,-,-

1200,-,-,-,-,-

1210,-,-,-,-,-

1220,-,-,-,-,-

1230,-,-,-,-,-

1240,-,-,-,-,-

1250,-,-,-,-,-

1260,-,-,-,-,-

1270,-,-,-,-,-

1280,-,-,-,-,-

1290,-,-,-,-,-

1300,-,-,-,-,-

1310,-,-,-,-,-

1320,-,-,-,-,-

1330,-,-,-,-,-

1340,-,-,-,-,-

1350,-,-,-,-,-

1360,-,-,-,-,-

1370,-,-,-,-,-

1380,-,-,-,-,-

1390,-,-,-,-,-

1400,-,-,-,-,-

1410,-,-,-,-,-

1420,-,-,-,-,-

1430,-,-,-,-,-

1440,-,-,-,-,-

1450,-,-,-,-,-

1460,-,-,-,-,-

1470,-,-,-,-,-

1480,-,-,-,-,-

1490,-,-,-,-,-

1500,-,-,-,-,-

1510,-,-,-,-,-

1520,-,-,-,-,-

1530,-,-,-,-,-

1540,-,-,-,-,-

1550,-,-,-,-,-

1560,-,-,-,-,-

1570,-,-,-,-,-

1580,-,-,-,-,-

1590,-,-,-,-,-

1600,-,-,-,-,-

1610,-,-,-,-,-

1620,-,-,-,-,-

1630,-,-,-,-,-

1640,-,-,-,-,-

1650,-,-,-,-,-

1660,-,-,-,-,-

1670,-,-,-,-,-

1680,-,-,-,-,-

1690,-,-,-,-,-

1700,-,-,-,-,-

1710,-,-,-,-,-

1720,-,-,-,-,-

1730,-,-,-,-,-

1740,-,-,-,-,-

1750,-,-,-,-,-

1760,-,-,-,-,-

1770,-,-,-,-,-

1780,-,-,-,-,-

1790,-,-,-,-,-

1800,-,-,-,-,-

1810,-,-,-,-,-

1820,-,-,-,-,-

1830,-,-,-,-,-

1840,-,-,-,-,-

1850,-,-,-,-,-

1860,-,-,-,-,-

1870,-,-,-,-,-

1880,-,-,-,-,-

1890,-,-,-,-,-

1900,-,-,-,-,-

1910,-,-,-,-,-

1920,-,-,-,-,-

1930,-,-,-,-,-

1940,-,-,-,-,-

1950,-,-,-,-,-

1960,-,-,-,-,-

1970,-,-,-,-,-

1980,-,-,-,-,-

1990,-,-,-,-,-

2000,-,-,-,-,-

2010,-,-,-,-,-

2020,-,-,-,-,-

2030,-,-,-,-,-

2040,-,-,-,-,-

2050,-,-,-,-,-

2060,-,-,-,-,-

2070,-,-,-,-,-

2080,-,-,-,-,-

2090,-,-,-,-,-

2100,-,-,-,-,-

2110,-,-,-,-,-

2120,-,-,-,-,-

2130,-,-,-,-,-

2140,-,-,-,-,-

2150,-,-,-,-,-

2160,-,-,-,-,-

2170,-,-,-,-,-

2180,-,-,-,-,-

2190,-,-,-,-,-

2200,-,-,-,-,-

2210,-,-,-,-,-

2220,-,-,-,-,-

2230,-,-,-,-,-

2240,-,-,-,-,-

2250,-,-,-,-,-

2260,-,-,-,-,-

2270,-,-,-,-,-

2280,-,-,-,-,-

2290,-,-,-,-,-

2300,-,-,-,-,-

2310,-,-,-,-,-

2320,-,-,-,-,-

2330,-,-,-,-,-

2340,-,-,-,-,-

2350,-,-,-,-,-

2360,-,-,-,-,-

2370,-,-,-,-,-

2380,-,-,-,-,-

2390,-,-,-,-,-

2400,-,-,-,-,-

2410,-,-,-,-,-

2420,-,-,-,-,-

2430,-,-,-,-,-

2440,-,-,-,-,-

2450,-,-,-,-,-

2460,-,-,-,-,-

2470,-,-,-,-,-

2480,-,-,-,-,-

2490,-,-,-,-,-

2500,-,-,-,-,-

2510,-,-,-,-,-

2520,-,-,-,-,-

